ID,p0,p1,p2,winRate
0, 0.000000, 0.500000, 0.500000, 0.676
1, 0.000000, 0.600000, 0.400000, 0.6911
2, 0.000000, 0.700000, 0.300000, 0.6867
3, 0.000000, 0.800000, 0.200000, 0.6862
4, 0.000000, 0.900000, 0.100000, 0.6823
5, 0.000000, 1.000000, 0.000000, 0.66
6, 0.100000, 0.500000, 0.400000, 0.6943
7, 0.100000, 0.600000, 0.300000, 0.6986
8, 0.100000, 0.700000, 0.200000, 0.6979
9, 0.100000, 0.800000, 0.100000, 0.6914
10, 0.100000, 0.900000, 0.000000, 0.679
11, 0.200000, 0.400000, 0.400000, 0.7023
12, 0.200000, 0.500000, 0.300000, 0.7033
13, 0.200000, 0.600000, 0.200000, 0.6979
14, 0.200000, 0.700000, 0.100000, 0.7
15, 0.200000, 0.800000, 0.000000, 0.6941
16, 0.300000, 0.400000, 0.300000, 0.705
17, 0.300000, 0.500000, 0.200000, 0.6998
18, 0.300000, 0.600000, 0.100000, 0.7064
19, 0.300000, 0.700000, 0.000000, 0.7011
20, 0.400000, 0.300000, 0.300000, 0.7121
21, 0.400000, 0.400000, 0.200000, 0.7116
22, 0.400000, 0.500000, 0.100000, 0.7118
23, 0.400000, 0.600000, 0.000000, 0.6977
24, 0.500000, 0.300000, 0.200000, 0.7086
25, 0.500000, 0.400000, 0.100000, 0.7137
26, 0.500000, 0.500000, 0.000000, 0.6977
27, 0.600000, 0.200000, 0.200000, 0.7123
28, 0.600000, 0.300000, 0.100000, 0.7118
29, 0.600000, 0.400000, 0.000000, 0.7063
30, 0.700000, 0.200000, 0.100000, 0.6899
31, 0.700000, 0.300000, 0.000000, 0.6934
32, 0.800000, 0.100000, 0.100000, 0.6935
33, 1.000000, 0.000000, 0.000000, 0.6777
