ID,p31,p32,p33,p34,p35,p36,winRate
0,0.0,0.0,0.0,0.0,0.0,1.0,0.6709999999999999
1,0.0,0.0,0.0,0.0,0.1,0.9,0.6655
2,0.0,0.0,0.0,0.0,0.2,0.8,0.6725
3,0.0,0.0,0.0,0.0,0.3,0.7,0.6585
4,0.0,0.0,0.0,0.0,0.4,0.6,0.66375
5,0.0,0.0,0.0,0.0,0.5,0.5,0.66875
6,0.0,0.0,0.0,0.0,0.6,0.4,0.67875
7,0.0,0.0,0.0,0.0,0.7,0.3,0.675
8,0.0,0.0,0.0,0.0,0.8,0.2,0.6795
9,0.0,0.0,0.0,0.0,0.9,0.1,0.67075
10,0.0,0.0,0.0,0.0,1.0,0.0,0.6779999999999999
11,0.0,0.0,0.0,0.1,0.0,0.9,0.72425
12,0.0,0.0,0.0,0.1,0.1,0.8,0.7140000000000001
13,0.0,0.0,0.0,0.1,0.2,0.7,0.7185
14,0.0,0.0,0.0,0.1,0.3,0.6,0.732
15,0.0,0.0,0.0,0.1,0.4,0.5,0.7190000000000001
16,0.0,0.0,0.0,0.1,0.5,0.4,0.7225
17,0.0,0.0,0.0,0.1,0.6,0.3,0.7195
18,0.0,0.0,0.0,0.1,0.7,0.2,0.72125
19,0.0,0.0,0.0,0.1,0.8,0.1,0.71625
20,0.0,0.0,0.0,0.1,0.9,0.0,0.713
21,0.0,0.0,0.0,0.2,0.0,0.8,0.7075
22,0.0,0.0,0.0,0.2,0.1,0.7,0.70575
23,0.0,0.0,0.0,0.2,0.2,0.6,0.71725
24,0.0,0.0,0.0,0.2,0.3,0.5,0.7140000000000001
25,0.0,0.0,0.0,0.2,0.4,0.4,0.71025
26,0.0,0.0,0.0,0.2,0.5,0.3,0.7175
27,0.0,0.0,0.0,0.2,0.6,0.2,0.695
28,0.0,0.0,0.0,0.2,0.7,0.1,0.7175
29,0.0,0.0,0.0,0.2,0.8,0.0,0.72075
30,0.0,0.0,0.0,0.3,0.0,0.7,0.70075
31,0.0,0.0,0.0,0.3,0.1,0.6,0.6890000000000001
32,0.0,0.0,0.0,0.3,0.2,0.5,0.69175
33,0.0,0.0,0.0,0.3,0.3,0.4,0.69725
34,0.0,0.0,0.0,0.3,0.4,0.3,0.713
35,0.0,0.0,0.0,0.3,0.5,0.2,0.68975
36,0.0,0.0,0.0,0.3,0.6,0.1,0.70175
37,0.0,0.0,0.0,0.3,0.7,0.0,0.69325
38,0.0,0.0,0.0,0.4,0.0,0.6,0.675
39,0.0,0.0,0.0,0.4,0.1,0.5,0.66825
40,0.0,0.0,0.0,0.4,0.2,0.4,0.65625
41,0.0,0.0,0.0,0.4,0.3,0.3,0.68375
42,0.0,0.0,0.0,0.4,0.4,0.2,0.6695
43,0.0,0.0,0.0,0.4,0.5,0.1,0.672
44,0.0,0.0,0.0,0.4,0.6,0.0,0.67025
45,0.0,0.0,0.0,0.5,0.0,0.5,0.63325
46,0.0,0.0,0.0,0.5,0.1,0.4,0.626
47,0.0,0.0,0.0,0.5,0.2,0.3,0.637
48,0.0,0.0,0.0,0.5,0.3,0.2,0.643
49,0.0,0.0,0.0,0.5,0.4,0.1,0.6365
50,0.0,0.0,0.0,0.5,0.5,0.0,0.624
51,0.0,0.0,0.0,0.6,0.0,0.4,0.56225
52,0.0,0.0,0.0,0.6,0.1,0.3,0.568
53,0.0,0.0,0.0,0.6,0.2,0.2,0.5575
54,0.0,0.0,0.0,0.6,0.3,0.1,0.55975
55,0.0,0.0,0.0,0.6,0.4,0.0,0.5735
56,0.0,0.0,0.0,0.7,0.0,0.3,0.48
57,0.0,0.0,0.0,0.7,0.1,0.2,0.4865
58,0.0,0.0,0.0,0.7,0.2,0.1,0.48100000000000004
59,0.0,0.0,0.0,0.7,0.3,0.0,0.4805
60,0.0,0.0,0.0,0.8,0.0,0.2,0.4235
61,0.0,0.0,0.0,0.8,0.1,0.1,0.43
62,0.0,0.0,0.0,0.8,0.2,0.0,0.4275
63,0.0,0.0,0.0,0.9,0.0,0.1,0.37175
64,0.0,0.0,0.0,0.9,0.1,0.0,0.3765
65,0.0,0.0,0.0,1.0,0.0,0.0,0.2025
66,0.0,0.0,0.1,0.0,0.0,0.9,0.66875
67,0.0,0.0,0.1,0.0,0.1,0.8,0.6645
68,0.0,0.0,0.1,0.0,0.2,0.7,0.665
69,0.0,0.0,0.1,0.0,0.3,0.6,0.64975
70,0.0,0.0,0.1,0.0,0.4,0.5,0.67175
71,0.0,0.0,0.1,0.0,0.5,0.4,0.66125
72,0.0,0.0,0.1,0.0,0.6,0.3,0.6659999999999999
73,0.0,0.0,0.1,0.0,0.7,0.2,0.66875
74,0.0,0.0,0.1,0.0,0.8,0.1,0.6745
75,0.0,0.0,0.1,0.0,0.9,0.0,0.6609999999999999
76,0.0,0.0,0.1,0.1,0.0,0.8,0.71875
77,0.0,0.0,0.1,0.1,0.1,0.7,0.713
78,0.0,0.0,0.1,0.1,0.2,0.6,0.708
79,0.0,0.0,0.1,0.1,0.3,0.5,0.7205
80,0.0,0.0,0.1,0.1,0.4,0.4,0.72075
81,0.0,0.0,0.1,0.1,0.5,0.3,0.7075
82,0.0,0.0,0.1,0.1,0.6,0.2,0.7140000000000001
83,0.0,0.0,0.1,0.1,0.7,0.1,0.7145
84,0.0,0.0,0.1,0.1,0.8,0.0,0.705
85,0.0,0.0,0.1,0.2,0.0,0.7,0.70175
86,0.0,0.0,0.1,0.2,0.1,0.6,0.70175
87,0.0,0.0,0.1,0.2,0.2,0.5,0.7105
88,0.0,0.0,0.1,0.2,0.3,0.4,0.71675
89,0.0,0.0,0.1,0.2,0.4,0.3,0.6935
90,0.0,0.0,0.1,0.2,0.5,0.2,0.7155
91,0.0,0.0,0.1,0.2,0.6,0.1,0.7215
92,0.0,0.0,0.1,0.2,0.7,0.0,0.72675
93,0.0,0.0,0.1,0.3,0.0,0.6,0.6925
94,0.0,0.0,0.1,0.3,0.1,0.5,0.693
95,0.0,0.0,0.1,0.3,0.2,0.4,0.685
96,0.0,0.0,0.1,0.3,0.3,0.3,0.6955
97,0.0,0.0,0.1,0.3,0.4,0.2,0.6975
98,0.0,0.0,0.1,0.3,0.5,0.1,0.68875
99,0.0,0.0,0.1,0.3,0.6,0.0,0.69125
100,0.0,0.0,0.1,0.4,0.0,0.5,0.67075
101,0.0,0.0,0.1,0.4,0.1,0.4,0.66325
102,0.0,0.0,0.1,0.4,0.2,0.3,0.659
103,0.0,0.0,0.1,0.4,0.3,0.2,0.66475
104,0.0,0.0,0.1,0.4,0.4,0.1,0.655
105,0.0,0.0,0.1,0.4,0.5,0.0,0.6635
106,0.0,0.0,0.1,0.5,0.0,0.4,0.63475
107,0.0,0.0,0.1,0.5,0.1,0.3,0.62675
108,0.0,0.0,0.1,0.5,0.2,0.2,0.63125
109,0.0,0.0,0.1,0.5,0.3,0.1,0.627
110,0.0,0.0,0.1,0.5,0.4,0.0,0.626
111,0.0,0.0,0.1,0.6,0.0,0.3,0.521
112,0.0,0.0,0.1,0.6,0.1,0.2,0.53225
113,0.0,0.0,0.1,0.6,0.2,0.1,0.53825
114,0.0,0.0,0.1,0.6,0.3,0.0,0.53675
115,0.0,0.0,0.1,0.7,0.0,0.2,0.4665
116,0.0,0.0,0.1,0.7,0.1,0.1,0.47925
117,0.0,0.0,0.1,0.7,0.2,0.0,0.474
118,0.0,0.0,0.1,0.8,0.0,0.1,0.3905
119,0.0,0.0,0.1,0.8,0.1,0.0,0.38299999999999995
120,0.0,0.0,0.1,0.9,0.0,0.0,0.2335
121,0.0,0.0,0.2,0.0,0.0,0.8,0.65
122,0.0,0.0,0.2,0.0,0.1,0.7,0.654
123,0.0,0.0,0.2,0.0,0.2,0.6,0.648
124,0.0,0.0,0.2,0.0,0.3,0.5,0.6579999999999999
125,0.0,0.0,0.2,0.0,0.4,0.4,0.66775
126,0.0,0.0,0.2,0.0,0.5,0.3,0.6605
127,0.0,0.0,0.2,0.0,0.6,0.2,0.65175
128,0.0,0.0,0.2,0.0,0.7,0.1,0.654
129,0.0,0.0,0.2,0.0,0.8,0.0,0.655
130,0.0,0.0,0.2,0.1,0.0,0.7,0.7015
131,0.0,0.0,0.2,0.1,0.1,0.6,0.711
132,0.0,0.0,0.2,0.1,0.2,0.5,0.6925
133,0.0,0.0,0.2,0.1,0.3,0.4,0.70475
134,0.0,0.0,0.2,0.1,0.4,0.3,0.6925
135,0.0,0.0,0.2,0.1,0.5,0.2,0.70425
136,0.0,0.0,0.2,0.1,0.6,0.1,0.69025
137,0.0,0.0,0.2,0.1,0.7,0.0,0.70575
138,0.0,0.0,0.2,0.2,0.0,0.6,0.7095
139,0.0,0.0,0.2,0.2,0.1,0.5,0.7020000000000001
140,0.0,0.0,0.2,0.2,0.2,0.4,0.6859999999999999
141,0.0,0.0,0.2,0.2,0.3,0.3,0.687
142,0.0,0.0,0.2,0.2,0.4,0.2,0.69875
143,0.0,0.0,0.2,0.2,0.5,0.1,0.69025
144,0.0,0.0,0.2,0.2,0.6,0.0,0.69875
145,0.0,0.0,0.2,0.3,0.0,0.5,0.696
146,0.0,0.0,0.2,0.3,0.1,0.4,0.6805
147,0.0,0.0,0.2,0.3,0.2,0.3,0.68575
148,0.0,0.0,0.2,0.3,0.3,0.2,0.67125
149,0.0,0.0,0.2,0.3,0.4,0.1,0.68675
150,0.0,0.0,0.2,0.3,0.5,0.0,0.6685
151,0.0,0.0,0.2,0.4,0.0,0.4,0.6445
152,0.0,0.0,0.2,0.4,0.1,0.3,0.64225
153,0.0,0.0,0.2,0.4,0.2,0.2,0.6425
154,0.0,0.0,0.2,0.4,0.3,0.1,0.6335
155,0.0,0.0,0.2,0.4,0.4,0.0,0.6345
156,0.0,0.0,0.2,0.5,0.0,0.3,0.5770000000000001
157,0.0,0.0,0.2,0.5,0.1,0.2,0.59
158,0.0,0.0,0.2,0.5,0.2,0.1,0.578
159,0.0,0.0,0.2,0.5,0.3,0.0,0.58675
160,0.0,0.0,0.2,0.6,0.0,0.2,0.50125
161,0.0,0.0,0.2,0.6,0.1,0.1,0.50625
162,0.0,0.0,0.2,0.6,0.2,0.0,0.515
163,0.0,0.0,0.2,0.7,0.0,0.1,0.4395
164,0.0,0.0,0.2,0.7,0.1,0.0,0.45225
165,0.0,0.0,0.2,0.8,0.0,0.0,0.23525
166,0.0,0.0,0.3,0.0,0.0,0.7,0.6645
167,0.0,0.0,0.3,0.0,0.1,0.6,0.654
168,0.0,0.0,0.3,0.0,0.2,0.5,0.6645
169,0.0,0.0,0.3,0.0,0.3,0.4,0.65075
170,0.0,0.0,0.3,0.0,0.4,0.3,0.65975
171,0.0,0.0,0.3,0.0,0.5,0.2,0.648
172,0.0,0.0,0.3,0.0,0.6,0.1,0.653
173,0.0,0.0,0.3,0.0,0.7,0.0,0.665
174,0.0,0.0,0.3,0.1,0.0,0.6,0.7105
175,0.0,0.0,0.3,0.1,0.1,0.5,0.71175
176,0.0,0.0,0.3,0.1,0.2,0.4,0.6915
177,0.0,0.0,0.3,0.1,0.3,0.3,0.69675
178,0.0,0.0,0.3,0.1,0.4,0.2,0.69925
179,0.0,0.0,0.3,0.1,0.5,0.1,0.69425
180,0.0,0.0,0.3,0.1,0.6,0.0,0.69875
181,0.0,0.0,0.3,0.2,0.0,0.5,0.6859999999999999
182,0.0,0.0,0.3,0.2,0.1,0.4,0.68125
183,0.0,0.0,0.3,0.2,0.2,0.3,0.6905
184,0.0,0.0,0.3,0.2,0.3,0.2,0.67975
185,0.0,0.0,0.3,0.2,0.4,0.1,0.68625
186,0.0,0.0,0.3,0.2,0.5,0.0,0.68975
187,0.0,0.0,0.3,0.3,0.0,0.4,0.64725
188,0.0,0.0,0.3,0.3,0.1,0.3,0.659
