ID,p3,p4,p5,p6,winRate
0,0.0,0.0,0.0,1.0,0.6994
1,0.0,0.0,0.1,0.9,0.7002
2,0.0,0.0,0.2,0.8,0.711
3,0.0,0.0,0.3,0.7,0.7106
4,0.0,0.0,0.4,0.6,0.7104
5,0.0,0.0,0.5,0.5,0.7094
6,0.0,0.0,0.6,0.4,0.7012
7,0.0,0.0,0.7,0.3,0.7006
8,0.0,0.0,0.8,0.2,0.6886
9,0.0,0.0,0.9,0.1,0.6829999999999999
10,0.0,0.0,1.0,0.0,0.6704
11,0.0,0.1,0.0,1.0,0.7032
12,0.0,0.1,0.1,0.9,0.7184
13,0.0,0.1,0.2,0.8,0.7064
14,0.0,0.1,0.3,0.7,0.7194
15,0.0,0.1,0.4,0.6,0.713
16,0.0,0.1,0.5,0.5,0.7282
17,0.0,0.1,0.6,0.4,0.7232
18,0.0,0.1,0.7,0.3,0.7
19,0.0,0.1,0.8,0.2,0.6940000000000001
20,0.0,0.1,0.9,0.1,0.6898
21,0.0,0.1,1.0,0.0,0.6724
22,0.0,0.2,0.0,1.0,0.6982
23,0.0,0.2,0.1,0.9,0.716
24,0.0,0.2,0.2,0.8,0.7096
25,0.0,0.2,0.3,0.7,0.728
26,0.0,0.2,0.4,0.6,0.723
27,0.0,0.2,0.5,0.5,0.7272
28,0.0,0.2,0.6,0.4,0.7190000000000001
29,0.0,0.2,0.7,0.3,0.7014
30,0.0,0.2,0.8,0.2,0.6966
31,0.0,0.2,0.9,0.1,0.6792
32,0.0,0.2,1.0,0.0,0.6694
33,0.0,0.3,0.0,1.0,0.7122
34,0.0,0.3,0.1,0.9,0.705
35,0.0,0.3,0.2,0.8,0.7152
36,0.0,0.3,0.3,0.7,0.7166
37,0.0,0.3,0.4,0.6,0.7262
38,0.0,0.3,0.5,0.5,0.7176
39,0.0,0.3,0.6,0.4,0.7176
40,0.0,0.3,0.7,0.3,0.7086
41,0.0,0.3,0.8,0.2,0.6842
42,0.0,0.3,0.9,0.1,0.6829999999999999
43,0.0,0.3,1.0,0.0,0.6764
44,0.0,0.4,0.0,1.0,0.7104
45,0.0,0.4,0.1,0.9,0.7108
46,0.0,0.4,0.2,0.8,0.715
47,0.0,0.4,0.3,0.7,0.7166
48,0.0,0.4,0.4,0.6,0.7192
49,0.0,0.4,0.5,0.5,0.71
50,0.0,0.4,0.6,0.4,0.7088
51,0.0,0.4,0.7,0.3,0.7102
52,0.0,0.4,0.8,0.2,0.6944
53,0.0,0.4,0.9,0.1,0.6914
54,0.0,0.4,1.0,0.0,0.672
55,0.0,0.5,0.0,1.0,0.7036
56,0.0,0.5,0.1,0.9,0.7026
57,0.0,0.5,0.2,0.8,0.7140000000000001
58,0.0,0.5,0.3,0.7,0.7252
59,0.0,0.5,0.4,0.6,0.7132
60,0.0,0.5,0.5,0.5,0.7306
61,0.0,0.5,0.6,0.4,0.7226
62,0.0,0.5,0.7,0.3,0.7008
63,0.0,0.5,0.8,0.2,0.701
64,0.0,0.5,0.9,0.1,0.6968
65,0.0,0.5,1.0,0.0,0.6756
66,0.0,0.6,0.0,1.0,0.7166
67,0.0,0.6,0.1,0.9,0.7128
68,0.0,0.6,0.2,0.8,0.7102
69,0.0,0.6,0.3,0.7,0.722
70,0.0,0.6,0.4,0.6,0.7136
71,0.0,0.6,0.5,0.5,0.7218
72,0.0,0.6,0.6,0.4,0.7226
73,0.0,0.6,0.7,0.3,0.7102
74,0.0,0.6,0.8,0.2,0.6788
75,0.0,0.6,0.9,0.1,0.6912
76,0.0,0.6,1.0,0.0,0.6706
77,0.0,0.7,0.0,1.0,0.6990000000000001
78,0.0,0.7,0.1,0.9,0.7072
79,0.0,0.7,0.2,0.8,0.7202
80,0.0,0.7,0.3,0.7,0.7156
81,0.0,0.7,0.4,0.6,0.7254
82,0.0,0.7,0.5,0.5,0.7286
83,0.0,0.7,0.6,0.4,0.7140000000000001
84,0.0,0.7,0.7,0.3,0.7076
85,0.0,0.7,0.8,0.2,0.7016
86,0.0,0.7,0.9,0.1,0.69
87,0.0,0.7,1.0,0.0,0.68
88,0.0,0.8,0.0,1.0,0.6954
89,0.0,0.8,0.1,0.9,0.7096
90,0.0,0.8,0.2,0.8,0.7072
91,0.0,0.8,0.3,0.7,0.7162
92,0.0,0.8,0.4,0.6,0.7194
93,0.0,0.8,0.5,0.5,0.7352
94,0.0,0.8,0.6,0.4,0.7078
95,0.0,0.8,0.7,0.3,0.7214
96,0.0,0.8,0.8,0.2,0.695
97,0.0,0.8,0.9,0.1,0.6756
98,0.0,0.8,1.0,0.0,0.6708
99,0.0,0.9,0.0,1.0,0.7078
100,0.0,0.9,0.1,0.9,0.7204
101,0.0,0.9,0.2,0.8,0.7108
102,0.0,0.9,0.3,0.7,0.7206
103,0.0,0.9,0.4,0.6,0.7168
104,0.0,0.9,0.5,0.5,0.7124
105,0.0,0.9,0.6,0.4,0.7184
106,0.0,0.9,0.7,0.3,0.7162
107,0.0,0.9,0.8,0.2,0.696
108,0.0,0.9,0.9,0.1,0.6916
109,0.0,0.9,1.0,0.0,0.6756
110,0.0,1.0,0.0,1.0,0.7184
111,0.0,1.0,0.1,0.9,0.7222
112,0.0,1.0,0.2,0.8,0.7282
113,0.0,1.0,0.3,0.7,0.7248
114,0.0,1.0,0.4,0.6,0.7194
115,0.0,1.0,0.5,0.5,0.7284
116,0.0,1.0,0.6,0.4,0.7232
117,0.0,1.0,0.7,0.3,0.7118
118,0.0,1.0,0.8,0.2,0.7
119,0.0,1.0,0.9,0.1,0.6856
120,0.0,1.0,1.0,0.0,0.6636
121,0.05,0.0,0.0,1.0,0.7024
122,0.05,0.0,0.1,0.9,0.7252
123,0.05,0.0,0.2,0.8,0.7136
124,0.05,0.0,0.3,0.7,0.7178
125,0.05,0.0,0.4,0.6,0.7172
126,0.05,0.0,0.5,0.5,0.72
127,0.05,0.0,0.6,0.4,0.7168
128,0.05,0.0,0.7,0.3,0.7142
129,0.05,0.0,0.8,0.2,0.6838
130,0.05,0.0,0.9,0.1,0.6832
131,0.05,0.0,1.0,0.0,0.6784
132,0.05,0.1,0.0,1.0,0.7038
133,0.05,0.1,0.1,0.9,0.7096
134,0.05,0.1,0.2,0.8,0.7232
135,0.05,0.1,0.3,0.7,0.7254
136,0.05,0.1,0.4,0.6,0.7226
137,0.05,0.1,0.5,0.5,0.7136
138,0.05,0.1,0.6,0.4,0.718
139,0.05,0.1,0.7,0.3,0.7090000000000001
140,0.05,0.1,0.8,0.2,0.6952
141,0.05,0.1,0.9,0.1,0.6898
142,0.05,0.1,1.0,0.0,0.6702
143,0.05,0.2,0.0,1.0,0.7036
144,0.05,0.2,0.1,0.9,0.7008
145,0.05,0.2,0.2,0.8,0.7144
146,0.05,0.2,0.3,0.7,0.7206
147,0.05,0.2,0.4,0.6,0.716
148,0.05,0.2,0.5,0.5,0.7286
149,0.05,0.2,0.6,0.4,0.7256
150,0.05,0.2,0.7,0.3,0.7032
151,0.05,0.2,0.8,0.2,0.6992
152,0.05,0.2,0.9,0.1,0.6886
153,0.05,0.2,1.0,0.0,0.679
154,0.05,0.3,0.0,1.0,0.71
155,0.05,0.3,0.1,0.9,0.6986
156,0.05,0.3,0.2,0.8,0.6964
