ID,p22,p23,winRate
0,0.0,0.0,0.7068
1,0.0,0.25,0.7084
2,0.0,0.5,0.716
3,0.0,0.75,0.7166
4,0.0,1.0,0.711
5,0.0,1.25,0.7084
6,0.0,1.5,0.7238
7,0.0,1.75,0.7132
8,0.0,2.0,0.7196
9,0.0,2.25,0.7226
10,0.0,2.5,0.7196
11,0.0,2.75,0.7118
12,0.0,3.0,0.71
13,0.0,3.25,0.7218
14,0.0,3.5,0.7266
15,0.0,3.75,0.7140000000000001
16,0.0,4.0,0.7172
17,0.1,0.0,0.715
18,0.1,0.25,0.7038
19,0.1,0.5,0.7144
20,0.1,0.75,0.6888
21,0.1,1.0,0.6596
22,0.1,1.25,0.6402
23,0.1,1.5,0.6548
24,0.1,1.75,0.6274
25,0.1,2.0,0.631
26,0.1,2.25,0.6168
27,0.1,2.5,0.607
28,0.1,2.75,0.626
29,0.1,3.0,0.5994
30,0.1,3.25,0.5906
31,0.1,3.5,0.5952
32,0.1,3.75,0.597
33,0.1,4.0,0.5962
34,0.2,0.0,0.7038
35,0.2,0.25,0.693
36,0.2,0.5,0.6694
37,0.2,0.75,0.655
38,0.2,1.0,0.635
39,0.2,1.25,0.645
40,0.2,1.5,0.6236
41,0.2,1.75,0.6198
42,0.2,2.0,0.602
43,0.2,2.25,0.6108
44,0.2,2.5,0.6146
45,0.2,2.75,0.5946
46,0.2,3.0,0.5758
47,0.2,3.25,0.5906
48,0.2,3.5,0.5834
49,0.2,3.75,0.5876
50,0.2,4.0,0.598
51,0.3,0.0,0.688
52,0.3,0.25,0.6818
53,0.3,0.5,0.6476
54,0.3,0.75,0.643
55,0.3,1.0,0.6336
56,0.3,1.25,0.6318
57,0.3,1.5,0.611
58,0.3,1.75,0.6088
59,0.3,2.0,0.6088
60,0.3,2.25,0.6098
61,0.3,2.5,0.6092
62,0.3,2.75,0.6088
63,0.3,3.0,0.597
64,0.3,3.25,0.5916
65,0.3,3.5,0.5914
66,0.3,3.75,0.5852
67,0.3,4.0,0.5858
68,0.4,0.0,0.6886
69,0.4,0.25,0.652
70,0.4,0.5,0.6498
71,0.4,0.75,0.633
72,0.4,1.0,0.629
73,0.4,1.25,0.61
74,0.4,1.5,0.606
75,0.4,1.75,0.6052
76,0.4,2.0,0.604
77,0.4,2.25,0.608
78,0.4,2.5,0.6078
79,0.4,2.75,0.609
80,0.4,3.0,0.604
81,0.4,3.25,0.5914
82,0.4,3.5,0.5954
83,0.4,3.75,0.5958
84,0.4,4.0,0.5866
85,0.5,0.0,0.6696
86,0.5,0.25,0.6488
87,0.5,0.5,0.6304
88,0.5,0.75,0.6348
89,0.5,1.0,0.6228
90,0.5,1.25,0.6046
91,0.5,1.5,0.603
92,0.5,1.75,0.614
93,0.5,2.0,0.6142
94,0.5,2.25,0.6016
95,0.5,2.5,0.6044
96,0.5,2.75,0.591
97,0.5,3.0,0.6042
98,0.5,3.25,0.5826
99,0.5,3.5,0.5946
100,0.5,3.75,0.5874
101,0.5,4.0,0.5932
102,0.6,0.0,0.6614
103,0.6,0.25,0.644
104,0.6,0.5,0.635
105,0.6,0.75,0.6244
106,0.6,1.0,0.622
107,0.6,1.25,0.6082
108,0.6,1.5,0.6276
109,0.6,1.75,0.6142
110,0.6,2.0,0.6096
111,0.6,2.25,0.6112
112,0.6,2.5,0.6118
113,0.6,2.75,0.611
114,0.6,3.0,0.5954
115,0.6,3.25,0.5928
116,0.6,3.5,0.594
117,0.6,3.75,0.5912
118,0.6,4.0,0.5822
119,0.7,0.0,0.6504
120,0.7,0.25,0.6456
121,0.7,0.5,0.6196
122,0.7,0.75,0.6328
123,0.7,1.0,0.6176
124,0.7,1.25,0.602
125,0.7,1.5,0.6196
126,0.7,1.75,0.6176
127,0.7,2.0,0.6214
128,0.7,2.25,0.6008
129,0.7,2.5,0.6042
130,0.7,2.75,0.5988
131,0.7,3.0,0.6104
132,0.7,3.25,0.6038
133,0.7,3.5,0.594
134,0.7,3.75,0.5984
135,0.7,4.0,0.5976
136,0.8,0.0,0.65
137,0.8,0.25,0.626
138,0.8,0.5,0.6194
139,0.8,0.75,0.6224
140,0.8,1.0,0.6248
141,0.8,1.25,0.6126
142,0.8,1.5,0.6078
143,0.8,1.75,0.6162
144,0.8,2.0,0.614
145,0.8,2.25,0.5982
146,0.8,2.5,0.6076
147,0.8,2.75,0.6072
148,0.8,3.0,0.5968
149,0.8,3.25,0.6032
150,0.8,3.5,0.6006
151,0.8,3.75,0.5906
152,0.8,4.0,0.6064
153,0.9,0.0,0.6368
154,0.9,0.25,0.624
155,0.9,0.5,0.6144
156,0.9,0.75,0.6234
157,0.9,1.0,0.6218
158,0.9,1.25,0.6176
159,0.9,1.5,0.6168
160,0.9,1.75,0.604
161,0.9,2.0,0.604
162,0.9,2.25,0.606
163,0.9,2.5,0.621
164,0.9,2.75,0.599
165,0.9,3.0,0.5972
166,0.9,3.25,0.6
167,0.9,3.5,0.6104
168,0.9,3.75,0.6006
169,0.9,4.0,0.5982
170,1.0,0.0,0.6412
171,1.0,0.25,0.6308
172,1.0,0.5,0.626
173,1.0,0.75,0.6128
174,1.0,1.0,0.6234
175,1.0,1.25,0.6074
176,1.0,1.5,0.6102
177,1.0,1.75,0.618
178,1.0,2.0,0.6176
179,1.0,2.25,0.6092
180,1.0,2.5,0.5994
181,1.0,2.75,0.6134
182,1.0,3.0,0.6088
183,1.0,3.25,0.6122
184,1.0,3.5,0.6002
185,1.0,3.75,0.6072
186,1.0,4.0,0.5946
