ID,p3,p4,p5,p6,winRate
0, 0.000000, 0.000000, 0.000000, 1.000000, 0.6873
1, 0.000000, 0.000000, 0.100000, 0.900000, 0.6996
2, 0.000000, 0.000000, 0.200000, 0.800000, 0.7036
3, 0.000000, 0.000000, 0.300000, 0.700000, 0.7073
4, 0.000000, 0.000000, 0.400000, 0.600000, 0.7005
5, 0.000000, 0.000000, 0.500000, 0.500000, 0.7037
6, 0.000000, 0.000000, 0.600000, 0.400000, 0.7026
7, 0.000000, 0.000000, 0.700000, 0.300000, 0.6933
8, 0.000000, 0.000000, 0.800000, 0.200000, 0.6852
9, 0.000000, 0.000000, 0.900000, 0.100000, 0.6666
10, 0.000000, 0.000000, 1.000000, 0.000000, 0.6573
11, 0.000000, 0.100000, 0.000000, 1.000000, 0.6853
12, 0.000000, 0.100000, 0.100000, 0.900000, 0.6908
13, 0.000000, 0.100000, 0.200000, 0.800000, 0.6938
14, 0.000000, 0.100000, 0.300000, 0.700000, 0.7057
15, 0.000000, 0.100000, 0.400000, 0.600000, 0.7053
16, 0.000000, 0.100000, 0.500000, 0.500000, 0.7063
17, 0.000000, 0.100000, 0.600000, 0.400000, 0.6981
18, 0.000000, 0.100000, 0.700000, 0.300000, 0.6921
19, 0.000000, 0.100000, 0.800000, 0.200000, 0.6806
20, 0.000000, 0.100000, 0.900000, 0.100000, 0.6671
21, 0.000000, 0.100000, 1.000000, 0.000000, 0.6578
22, 0.000000, 0.200000, 0.000000, 1.000000, 0.6895
23, 0.000000, 0.200000, 0.100000, 0.900000, 0.6878
24, 0.000000, 0.200000, 0.200000, 0.800000, 0.7004
25, 0.000000, 0.200000, 0.300000, 0.700000, 0.7047
26, 0.000000, 0.200000, 0.400000, 0.600000, 0.7049
27, 0.000000, 0.200000, 0.500000, 0.500000, 0.7104
28, 0.000000, 0.200000, 0.600000, 0.400000, 0.6971
29, 0.000000, 0.200000, 0.700000, 0.300000, 0.6905
30, 0.000000, 0.200000, 0.800000, 0.200000, 0.6814
31, 0.000000, 0.200000, 0.900000, 0.100000, 0.6637
32, 0.000000, 0.200000, 1.000000, 0.000000, 0.6615
33, 0.000000, 0.300000, 0.000000, 1.000000, 0.6964
34, 0.000000, 0.300000, 0.100000, 0.900000, 0.6915
35, 0.000000, 0.300000, 0.200000, 0.800000, 0.7038
36, 0.000000, 0.300000, 0.300000, 0.700000, 0.707
37, 0.000000, 0.300000, 0.400000, 0.600000, 0.707
38, 0.000000, 0.300000, 0.500000, 0.500000, 0.705
39, 0.000000, 0.300000, 0.600000, 0.400000, 0.6971
40, 0.000000, 0.300000, 0.700000, 0.300000, 0.6917
41, 0.000000, 0.300000, 0.800000, 0.200000, 0.6818
42, 0.000000, 0.300000, 0.900000, 0.100000, 0.6708
43, 0.000000, 0.300000, 1.000000, 0.000000, 0.6599
44, 0.000000, 0.400000, 0.000000, 1.000000, 0.6889
45, 0.000000, 0.400000, 0.100000, 0.900000, 0.7
46, 0.000000, 0.400000, 0.200000, 0.800000, 0.711
47, 0.000000, 0.400000, 0.300000, 0.700000, 0.7111
48, 0.000000, 0.400000, 0.400000, 0.600000, 0.7055
49, 0.000000, 0.400000, 0.500000, 0.500000, 0.699
50, 0.000000, 0.400000, 0.600000, 0.400000, 0.6995
51, 0.000000, 0.400000, 0.700000, 0.300000, 0.6964
52, 0.000000, 0.400000, 0.800000, 0.200000, 0.6805
53, 0.000000, 0.400000, 0.900000, 0.100000, 0.6775
54, 0.000000, 0.400000, 1.000000, 0.000000, 0.6575
55, 0.000000, 0.500000, 0.000000, 1.000000, 0.6838
56, 0.000000, 0.500000, 0.100000, 0.900000, 0.6903
57, 0.000000, 0.500000, 0.200000, 0.800000, 0.6921
58, 0.000000, 0.500000, 0.300000, 0.700000, 0.7075
59, 0.000000, 0.500000, 0.400000, 0.600000, 0.6922
60, 0.000000, 0.500000, 0.500000, 0.500000, 0.7037
61, 0.000000, 0.500000, 0.600000, 0.400000, 0.6936
62, 0.000000, 0.500000, 0.700000, 0.300000, 0.6938
63, 0.000000, 0.500000, 0.800000, 0.200000, 0.679
64, 0.000000, 0.500000, 0.900000, 0.100000, 0.6718
65, 0.000000, 0.500000, 1.000000, 0.000000, 0.6587
66, 0.000000, 0.600000, 0.000000, 1.000000, 0.6963
67, 0.000000, 0.600000, 0.100000, 0.900000, 0.7042
68, 0.000000, 0.600000, 0.200000, 0.800000, 0.7104
69, 0.000000, 0.600000, 0.300000, 0.700000, 0.7048
70, 0.000000, 0.600000, 0.400000, 0.600000, 0.7015
71, 0.000000, 0.600000, 0.500000, 0.500000, 0.7017
72, 0.000000, 0.600000, 0.600000, 0.400000, 0.6993
73, 0.000000, 0.600000, 0.700000, 0.300000, 0.6949
74, 0.000000, 0.600000, 0.800000, 0.200000, 0.6859
75, 0.000000, 0.600000, 0.900000, 0.100000, 0.6732
76, 0.000000, 0.600000, 1.000000, 0.000000, 0.6605
77, 0.000000, 0.700000, 0.000000, 1.000000, 0.6902
78, 0.000000, 0.700000, 0.100000, 0.900000, 0.7058
79, 0.000000, 0.700000, 0.200000, 0.800000, 0.7099
80, 0.000000, 0.700000, 0.300000, 0.700000, 0.7096
81, 0.000000, 0.700000, 0.400000, 0.600000, 0.7056
