Using command-line argument: 3
LinearDeadwoodPenaltyHE ParamLists are ready.
numIndividuals: 187. Correct number is: 187
=============== runExhaustiveTest ===============
gamesPerIndividual: 10000
----------------------------------
Progress:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 
Elapsed time (m): 24.519083333333334
----------
Max win rate: 0.7146
Corresponding max params at index 11: [0.5, 0.4, 0.1, 0.1, 0.9, 0.4, 0.6, 0.05, 0.5, 0.4, 0.6, 0.8380616650330837, 0.06152068390417398, 0.38258062302368523, 0.39810496473742085, 0.10844666639491507, 0.37763392278384067, 0.2706576839587317, 0.2077890824329678, 0.47922119839098565, 1.0, 1.0, 0.0, 2.75, 0.01, 2.0, 10.0, 0.0, 6.0, 8.0, 14.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]
----------
Min win rate: 0.4784
Corresponding min params at index 33: [0.5, 0.4, 0.1, 0.1, 0.9, 0.4, 0.6, 0.05, 0.5, 0.4, 0.6, 0.8380616650330837, 0.06152068390417398, 0.38258062302368523, 0.39810496473742085, 0.10844666639491507, 0.37763392278384067, 0.2706576839587317, 0.2077890824329678, 0.47922119839098565, 1.0, 1.0, 0.1, 4.0, 0.01, 2.0, 10.0, 0.0, 6.0, 8.0, 14.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]
----------
Average win rate: 0.5405251336898397
Standard deviation of win rates: 0.06896773917470463
----------------------------------------
Table of results: 
ID, p22, p23, winRate
0, 0.000000, 0.000000, 0.711
1, 0.000000, 0.250000, 0.7104
2, 0.000000, 0.500000, 0.703
3, 0.000000, 0.750000, 0.7136
4, 0.000000, 1.000000, 0.7089
5, 0.000000, 1.250000, 0.7144
6, 0.000000, 1.500000, 0.7092
7, 0.000000, 1.750000, 0.7017
8, 0.000000, 2.000000, 0.709
9, 0.000000, 2.250000, 0.6996
10, 0.000000, 2.500000, 0.7014
11, 0.000000, 2.750000, 0.7146
12, 0.000000, 3.000000, 0.7013
13, 0.000000, 3.250000, 0.7081
14, 0.000000, 3.500000, 0.7102
15, 0.000000, 3.750000, 0.7043
16, 0.000000, 4.000000, 0.703
17, 0.100000, 0.000000, 0.6997
18, 0.100000, 0.250000, 0.6992
19, 0.100000, 0.500000, 0.684
20, 0.100000, 0.750000, 0.6613
21, 0.100000, 1.000000, 0.6155
22, 0.100000, 1.250000, 0.5778
23, 0.100000, 1.500000, 0.5633
24, 0.100000, 1.750000, 0.5435
25, 0.100000, 2.000000, 0.5138
26, 0.100000, 2.250000, 0.5045
27, 0.100000, 2.500000, 0.5002
28, 0.100000, 2.750000, 0.4984
29, 0.100000, 3.000000, 0.492
30, 0.100000, 3.250000, 0.48
31, 0.100000, 3.500000, 0.4867
32, 0.100000, 3.750000, 0.4969
33, 0.100000, 4.000000, 0.4784
34, 0.200000, 0.000000, 0.686
35, 0.200000, 0.250000, 0.6634
36, 0.200000, 0.500000, 0.6471
37, 0.200000, 0.750000, 0.6016
38, 0.200000, 1.000000, 0.5765
39, 0.200000, 1.250000, 0.5505
40, 0.200000, 1.500000, 0.5279
41, 0.200000, 1.750000, 0.5136
42, 0.200000, 2.000000, 0.5066
43, 0.200000, 2.250000, 0.5092
44, 0.200000, 2.500000, 0.4945
45, 0.200000, 2.750000, 0.4929
46, 0.200000, 3.000000, 0.4817
47, 0.200000, 3.250000, 0.4878
48, 0.200000, 3.500000, 0.4839
49, 0.200000, 3.750000, 0.4856
50, 0.200000, 4.000000, 0.4808
51, 0.300000, 0.000000, 0.6847
52, 0.300000, 0.250000, 0.6377
53, 0.300000, 0.500000, 0.5975
54, 0.300000, 0.750000, 0.5702
55, 0.300000, 1.000000, 0.5464
56, 0.300000, 1.250000, 0.5318
