ID,p31,p32,p33,p34,p35,p36,winRate
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.671
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.100000, 0.900000, 0.6655
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.200000, 0.800000, 0.6725
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.300000, 0.700000, 0.6585
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.400000, 0.600000, 0.66375
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.500000, 0.66875
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.600000, 0.400000, 0.67875
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.700000, 0.300000, 0.675
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.800000, 0.200000, 0.6795
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.900000, 0.100000, 0.67075
10, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.678
11, 0.000000, 0.000000, 0.000000, 0.100000, 0.000000, 0.900000, 0.72425
12, 0.000000, 0.000000, 0.000000, 0.100000, 0.100000, 0.800000, 0.714
13, 0.000000, 0.000000, 0.000000, 0.100000, 0.200000, 0.700000, 0.7185
14, 0.000000, 0.000000, 0.000000, 0.100000, 0.300000, 0.600000, 0.732
15, 0.000000, 0.000000, 0.000000, 0.100000, 0.400000, 0.500000, 0.719
16, 0.000000, 0.000000, 0.000000, 0.100000, 0.500000, 0.400000, 0.7225
17, 0.000000, 0.000000, 0.000000, 0.100000, 0.600000, 0.300000, 0.7195
18, 0.000000, 0.000000, 0.000000, 0.100000, 0.700000, 0.200000, 0.72125
19, 0.000000, 0.000000, 0.000000, 0.100000, 0.800000, 0.100000, 0.71625
20, 0.000000, 0.000000, 0.000000, 0.100000, 0.900000, 0.000000, 0.713
21, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.800000, 0.7075
22, 0.000000, 0.000000, 0.000000, 0.200000, 0.100000, 0.700000, 0.70575
23, 0.000000, 0.000000, 0.000000, 0.200000, 0.200000, 0.600000, 0.71725
24, 0.000000, 0.000000, 0.000000, 0.200000, 0.300000, 0.500000, 0.714
25, 0.000000, 0.000000, 0.000000, 0.200000, 0.400000, 0.400000, 0.71025
