Using command-line arguments: 4, E
Self: Ensemble player
Using these parameters as a base (some values will change in the exhaustive search):
[0.4, 0.4, 0.2, 0.35, 0.9, 0.4, 0.6, 0.05, 0.5, 0.4, 0.6, 0.8380616650330837, 0.06152068390417398, 0.38258062302368523, 0.39810496473742085, 0.10844666639491507, 0.37763392278384067, 0.2706576839587317, 0.2077890824329678, 0.47922119839098565, 1.0, 1.0, 0.0, 2.75, 0.0, 0.25, 10.0, 0.0, 6.0, 8.0, 14.0, 0.19999999999999998, 0.5000000000000001, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.0]
OppCardsKnownDeadwoodPenaltyHE ParamLists are ready.
numIndividuals: 187. Correct number is: 187
=============== runExhaustiveTest ===============
gamesPerIndividual: 5000
========== Subset 0 ==========
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 
Subset 0 results:
----------------------------------------
Table of results: 
ID, p24, p25, winRate
0, 0.000000, 0.000000, 0.7256
1, 0.000000, 0.250000, 0.7198
2, 0.000000, 0.500000, 0.7266
3, 0.000000, 0.750000, 0.7194
4, 0.000000, 1.000000, 0.7368
5, 0.000000, 1.250000, 0.7262
6, 0.000000, 1.500000, 0.724
7, 0.000000, 1.750000, 0.7192
8, 0.000000, 2.000000, 0.7372
9, 0.000000, 2.250000, 0.731
10, 0.000000, 2.500000, 0.7238
11, 0.000000, 2.750000, 0.721
12, 0.000000, 3.000000, 0.72
13, 0.000000, 3.250000, 0.7184
14, 0.000000, 3.500000, 0.7218
15, 0.000000, 3.750000, 0.7302
16, 0.000000, 4.000000, 0.7252
17, 0.100000, 0.000000, 0.7064
18, 0.100000, 0.250000, 0.7008
19, 0.100000, 0.500000, 0.6912
20, 0.100000, 0.750000, 0.6878
21, 0.100000, 1.000000, 0.684
22, 0.100000, 1.250000, 0.652
23, 0.100000, 1.500000, 0.6612
24, 0.100000, 1.750000, 0.657
25, 0.100000, 2.000000, 0.647
26, 0.100000, 2.250000, 0.6242
27, 0.100000, 2.500000, 0.6204
28, 0.100000, 2.750000, 0.6144
29, 0.100000, 3.000000, 0.6132
30, 0.100000, 3.250000, 0.6126
31, 0.100000, 3.500000, 0.6044
32, 0.100000, 3.750000, 0.5978
33, 0.100000, 4.000000, 0.5934
34, 0.200000, 0.000000, 0.6696
35, 0.200000, 0.250000, 0.657
36, 0.200000, 0.500000, 0.6442
37, 0.200000, 0.750000, 0.6382
38, 0.200000, 1.000000, 0.617
39, 0.200000, 1.250000, 0.625
40, 0.200000, 1.500000, 0.6126
41, 0.200000, 1.750000, 0.6136
42, 0.200000, 2.000000, 0.6032
43, 0.200000, 2.250000, 0.5918
44, 0.200000, 2.500000, 0.5852
45, 0.200000, 2.750000, 0.5738
46, 0.200000, 3.000000, 0.5738
47, 0.200000, 3.250000, 0.5672
48, 0.200000, 3.500000, 0.5624
49, 0.200000, 3.750000, 0.5724
50, 0.200000, 4.000000, 0.5536
51, 0.300000, 0.000000, 0.663
52, 0.300000, 0.250000, 0.6308
53, 0.300000, 0.500000, 0.6156
54, 0.300000, 0.750000, 0.6104
55, 0.300000, 1.000000, 0.6162
56, 0.300000, 1.250000, 0.5876
57, 0.300000, 1.500000, 0.5898
58, 0.300000, 1.750000, 0.5712
59, 0.300000, 2.000000, 0.5694
60, 0.300000, 2.250000, 0.564
61, 0.300000, 2.500000, 0.561
62, 0.300000, 2.750000, 0.551
63, 0.300000, 3.000000, 0.5538
64, 0.300000, 3.250000, 0.5466
65, 0.300000, 3.500000, 0.5434
66, 0.300000, 3.750000, 0.5438
67, 0.300000, 4.000000, 0.5432
68, 0.400000, 0.000000, 0.6392
69, 0.400000, 0.250000, 0.6128
70, 0.400000, 0.500000, 0.6096
71, 0.400000, 0.750000, 0.5878
72, 0.400000, 1.000000, 0.5764
73, 0.400000, 1.250000, 0.5636
74, 0.400000, 1.500000, 0.5696
75, 0.400000, 1.750000, 0.5534
76, 0.400000, 2.000000, 0.5542
77, 0.400000, 2.250000, 0.5582
78, 0.400000, 2.500000, 0.56
79, 0.400000, 2.750000, 0.5408
80, 0.400000, 3.000000, 0.537
81, 0.400000, 3.250000, 0.5392
82, 0.400000, 3.500000, 0.5308
83, 0.400000, 3.750000, 0.5296
84, 0.400000, 4.000000, 0.53
85, 0.500000, 0.000000, 0.6314
86, 0.500000, 0.250000, 0.5872
87, 0.500000, 0.500000, 0.574
88, 0.500000, 0.750000, 0.5784
89, 0.500000, 1.000000, 0.5678
90, 0.500000, 1.250000, 0.5616
91, 0.500000, 1.500000, 0.554
92, 0.500000, 1.750000, 0.5492
93, 0.500000, 2.000000, 0.5496
94, 0.500000, 2.250000, 0.5498
95, 0.500000, 2.500000, 0.528
96, 0.500000, 2.750000, 0.5274
97, 0.500000, 3.000000, 0.5316
98, 0.500000, 3.250000, 0.5376
99, 0.500000, 3.500000, 0.536
100, 0.500000, 3.750000, 0.5272
101, 0.500000, 4.000000, 0.5214
102, 0.600000, 0.000000, 0.5966
103, 0.600000, 0.250000, 0.5804
104, 0.600000, 0.500000, 0.56
105, 0.600000, 0.750000, 0.554
106, 0.600000, 1.000000, 0.5486
107, 0.600000, 1.250000, 0.545
108, 0.600000, 1.500000, 0.5578
109, 0.600000, 1.750000, 0.5502
110, 0.600000, 2.000000, 0.5194
111, 0.600000, 2.250000, 0.5408
112, 0.600000, 2.500000, 0.5276
113, 0.600000, 2.750000, 0.5158
114, 0.600000, 3.000000, 0.5304
115, 0.600000, 3.250000, 0.5306
116, 0.600000, 3.500000, 0.5242
117, 0.600000, 3.750000, 0.5148
118, 0.600000, 4.000000, 0.5098
119, 0.700000, 0.000000, 0.6094
120, 0.700000, 0.250000, 0.5618
121, 0.700000, 0.500000, 0.558
122, 0.700000, 0.750000, 0.5486
123, 0.700000, 1.000000, 0.542
124, 0.700000, 1.250000, 0.5422
125, 0.700000, 1.500000, 0.5408
126, 0.700000, 1.750000, 0.5376
127, 0.700000, 2.000000, 0.5312
128, 0.700000, 2.250000, 0.5282
129, 0.700000, 2.500000, 0.513
130, 0.700000, 2.750000, 0.5086
131, 0.700000, 3.000000, 0.5262
132, 0.700000, 3.250000, 0.5164
133, 0.700000, 3.500000, 0.5272
134, 0.700000, 3.750000, 0.5146
135, 0.700000, 4.000000, 0.5302
136, 0.800000, 0.000000, 0.5916
137, 0.800000, 0.250000, 0.5472
138, 0.800000, 0.500000, 0.5456
139, 0.800000, 0.750000, 0.544
140, 0.800000, 1.000000, 0.5512
141, 0.800000, 1.250000, 0.5308
142, 0.800000, 1.500000, 0.5294
143, 0.800000, 1.750000, 0.5368
144, 0.800000, 2.000000, 0.526
145, 0.800000, 2.250000, 0.5284
146, 0.800000, 2.500000, 0.5074
147, 0.800000, 2.750000, 0.5254
148, 0.800000, 3.000000, 0.5242
149, 0.800000, 3.250000, 0.5106
150, 0.800000, 3.500000, 0.523
151, 0.800000, 3.750000, 0.5258
152, 0.800000, 4.000000, 0.5086
153, 0.900000, 0.000000, 0.5804
154, 0.900000, 0.250000, 0.5482
155, 0.900000, 0.500000, 0.5434
156, 0.900000, 0.750000, 0.5426
157, 0.900000, 1.000000, 0.5364
158, 0.900000, 1.250000, 0.5328
159, 0.900000, 1.500000, 0.5298
160, 0.900000, 1.750000, 0.5186
161, 0.900000, 2.000000, 0.527
162, 0.900000, 2.250000, 0.5308
163, 0.900000, 2.500000, 0.518
164, 0.900000, 2.750000, 0.5198
165, 0.900000, 3.000000, 0.522
166, 0.900000, 3.250000, 0.5086
167, 0.900000, 3.500000, 0.5128
168, 0.900000, 3.750000, 0.518
169, 0.900000, 4.000000, 0.5202
170, 1.000000, 0.000000, 0.5856
171, 1.000000, 0.250000, 0.5432
172, 1.000000, 0.500000, 0.5362
173, 1.000000, 0.750000, 0.5304
174, 1.000000, 1.000000, 0.5332
175, 1.000000, 1.250000, 0.5144
176, 1.000000, 1.500000, 0.5176
177, 1.000000, 1.750000, 0.5172
178, 1.000000, 2.000000, 0.5218
179, 1.000000, 2.250000, 0.516
180, 1.000000, 2.500000, 0.5202
181, 1.000000, 2.750000, 0.5112
182, 1.000000, 3.000000, 0.5204
183, 1.000000, 3.250000, 0.5124
184, 1.000000, 3.500000, 0.5134
185, 1.000000, 3.750000, 0.5128
186, 1.000000, 4.000000, 0.5106

Elapsed time (m): 13.047949999999998
All tests complete. Results follow.
----------
Max win rate: 0.7372
Corresponding max params at index 8:
[0.4, 0.4, 0.2, 0.35, 0.9, 0.4, 0.6, 0.05, 0.5, 0.4, 0.6, 0.8380616650330837, 0.06152068390417398, 0.38258062302368523, 0.39810496473742085, 0.10844666639491507, 0.37763392278384067, 0.2706576839587317, 0.2077890824329678, 0.47922119839098565, 1.0, 1.0, 0.0, 2.75, 0.0, 2.0, 10.0, 0.0, 6.0, 8.0, 14.0, 0.19999999999999998, 0.5000000000000001, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.0]
----------
Min win rate: 0.5074
Corresponding min params at index 146:
[0.4, 0.4, 0.2, 0.35, 0.9, 0.4, 0.6, 0.05, 0.5, 0.4, 0.6, 0.8380616650330837, 0.06152068390417398, 0.38258062302368523, 0.39810496473742085, 0.10844666639491507, 0.37763392278384067, 0.2706576839587317, 0.2077890824329678, 0.47922119839098565, 1.0, 1.0, 0.0, 2.75, 0.8, 2.5, 10.0, 0.0, 6.0, 8.0, 14.0, 0.19999999999999998, 0.5000000000000001, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.0]
----------
Average win rate: 0.5722898395721924
Standard deviation of win rates: 0.0642695042289863
----------------------------------------
Table of results: 
ID, p24, p25, winRate
0, 0.000000, 0.000000, 0.7256
1, 0.000000, 0.250000, 0.7198
2, 0.000000, 0.500000, 0.7266
3, 0.000000, 0.750000, 0.7194
4, 0.000000, 1.000000, 0.7368
5, 0.000000, 1.250000, 0.7262
6, 0.000000, 1.500000, 0.724
7, 0.000000, 1.750000, 0.7192
8, 0.000000, 2.000000, 0.7372
9, 0.000000, 2.250000, 0.731
10, 0.000000, 2.500000, 0.7238
11, 0.000000, 2.750000, 0.721
12, 0.000000, 3.000000, 0.72
13, 0.000000, 3.250000, 0.7184
14, 0.000000, 3.500000, 0.7218
15, 0.000000, 3.750000, 0.7302
16, 0.000000, 4.000000, 0.7252
17, 0.100000, 0.000000, 0.7064
18, 0.100000, 0.250000, 0.7008
19, 0.100000, 0.500000, 0.6912
20, 0.100000, 0.750000, 0.6878
21, 0.100000, 1.000000, 0.684
22, 0.100000, 1.250000, 0.652
23, 0.100000, 1.500000, 0.6612
24, 0.100000, 1.750000, 0.657
25, 0.100000, 2.000000, 0.647
26, 0.100000, 2.250000, 0.6242
