ID,p0,p1,p2,winRate
0, 0.000000, 0.500000, 0.500000, 0.7088
1, 0.000000, 0.600000, 0.400000, 0.701
2, 0.000000, 0.700000, 0.300000, 0.7006
3, 0.000000, 0.800000, 0.200000, 0.7072
4, 0.000000, 0.900000, 0.100000, 0.7046
5, 0.000000, 1.000000, 0.000000, 0.6982
6, 0.100000, 0.500000, 0.400000, 0.7272
7, 0.100000, 0.600000, 0.300000, 0.7194
8, 0.100000, 0.700000, 0.200000, 0.7088
9, 0.100000, 0.800000, 0.100000, 0.7114
10, 0.100000, 0.900000, 0.000000, 0.7128
11, 0.200000, 0.400000, 0.400000, 0.7204
12, 0.200000, 0.500000, 0.300000, 0.7102
13, 0.200000, 0.600000, 0.200000, 0.7176
14, 0.200000, 0.700000, 0.100000, 0.7138
15, 0.200000, 0.800000, 0.000000, 0.7172
16, 0.300000, 0.400000, 0.300000, 0.7194
17, 0.300000, 0.500000, 0.200000, 0.7222
18, 0.300000, 0.600000, 0.100000, 0.7262
19, 0.300000, 0.700000, 0.000000, 0.712
20, 0.400000, 0.300000, 0.300000, 0.7276
21, 0.400000, 0.400000, 0.200000, 0.7184
22, 0.400000, 0.500000, 0.100000, 0.7144
23, 0.400000, 0.600000, 0.000000, 0.7146
24, 0.500000, 0.300000, 0.200000, 0.7194
25, 0.500000, 0.400000, 0.100000, 0.7138
26, 0.500000, 0.500000, 0.000000, 0.7196
27, 0.600000, 0.200000, 0.200000, 0.7086
28, 0.600000, 0.300000, 0.100000, 0.712
29, 0.600000, 0.400000, 0.000000, 0.7274
30, 0.700000, 0.200000, 0.100000, 0.7164
31, 0.700000, 0.300000, 0.000000, 0.7316
32, 0.800000, 0.100000, 0.100000, 0.709
33, 1.000000, 0.000000, 0.000000, 0.7102
