ID,p24,p25,winRate
0, 0.000000, 0.000000, 0.7212
1, 0.000000, 0.250000, 0.7234
2, 0.000000, 0.500000, 0.705
3, 0.000000, 0.750000, 0.7134
4, 0.000000, 1.000000, 0.713
5, 0.000000, 1.250000, 0.7106
6, 0.000000, 1.500000, 0.7242
7, 0.000000, 1.750000, 0.7222
8, 0.000000, 2.000000, 0.7132
9, 0.000000, 2.250000, 0.7206
10, 0.000000, 2.500000, 0.7142
11, 0.000000, 2.750000, 0.717
12, 0.000000, 3.000000, 0.7112
13, 0.000000, 3.250000, 0.7232
14, 0.000000, 3.500000, 0.716
15, 0.000000, 3.750000, 0.7198
16, 0.000000, 4.000000, 0.7044
17, 0.100000, 0.000000, 0.7038
18, 0.100000, 0.250000, 0.6914
19, 0.100000, 0.500000, 0.6824
20, 0.100000, 0.750000, 0.676
21, 0.100000, 1.000000, 0.6742
22, 0.100000, 1.250000, 0.6454
23, 0.100000, 1.500000, 0.6542
24, 0.100000, 1.750000, 0.6518
25, 0.100000, 2.000000, 0.6442
26, 0.100000, 2.250000, 0.6376
27, 0.100000, 2.500000, 0.6318
28, 0.100000, 2.750000, 0.6178
29, 0.100000, 3.000000, 0.6094
30, 0.100000, 3.250000, 0.602
31, 0.100000, 3.500000, 0.6054
32, 0.100000, 3.750000, 0.5968
33, 0.100000, 4.000000, 0.5906
34, 0.200000, 0.000000, 0.6692
35, 0.200000, 0.250000, 0.6474
36, 0.200000, 0.500000, 0.6428
37, 0.200000, 0.750000, 0.6328
38, 0.200000, 1.000000, 0.6128
39, 0.200000, 1.250000, 0.6188
40, 0.200000, 1.500000, 0.5918
41, 0.200000, 1.750000, 0.608
42, 0.200000, 2.000000, 0.5908
43, 0.200000, 2.250000, 0.5782
44, 0.200000, 2.500000, 0.5782
45, 0.200000, 2.750000, 0.571
46, 0.200000, 3.000000, 0.5758
47, 0.200000, 3.250000, 0.559
48, 0.200000, 3.500000, 0.5634
49, 0.200000, 3.750000, 0.5446
50, 0.200000, 4.000000, 0.555
51, 0.300000, 0.000000, 0.6306
52, 0.300000, 0.250000, 0.6202
53, 0.300000, 0.500000, 0.6046
54, 0.300000, 0.750000, 0.6048
55, 0.300000, 1.000000, 0.588
56, 0.300000, 1.250000, 0.5796
57, 0.300000, 1.500000, 0.5828
58, 0.300000, 1.750000, 0.5674
59, 0.300000, 2.000000, 0.5698
60, 0.300000, 2.250000, 0.567
61, 0.300000, 2.500000, 0.5498
62, 0.300000, 2.750000, 0.5602
63, 0.300000, 3.000000, 0.5318
64, 0.300000, 3.250000, 0.5336
65, 0.300000, 3.500000, 0.5412
66, 0.300000, 3.750000, 0.5244
67, 0.300000, 4.000000, 0.5366
68, 0.400000, 0.000000, 0.6194
69, 0.400000, 0.250000, 0.6006
70, 0.400000, 0.500000, 0.5858
71, 0.400000, 0.750000, 0.581
72, 0.400000, 1.000000, 0.5728
73, 0.400000, 1.250000, 0.5686
74, 0.400000, 1.500000, 0.5526
75, 0.400000, 1.750000, 0.5712
76, 0.400000, 2.000000, 0.5488
77, 0.400000, 2.250000, 0.5402
78, 0.400000, 2.500000, 0.535
79, 0.400000, 2.750000, 0.5478
80, 0.400000, 3.000000, 0.5232
81, 0.400000, 3.250000, 0.5266
82, 0.400000, 3.500000, 0.5322
83, 0.400000, 3.750000, 0.5284
84, 0.400000, 4.000000, 0.5266
85, 0.500000, 0.000000, 0.5986
86, 0.500000, 0.250000, 0.5834
87, 0.500000, 0.500000, 0.5788
88, 0.500000, 0.750000, 0.5508
89, 0.500000, 1.000000, 0.5624
90, 0.500000, 1.250000, 0.55
91, 0.500000, 1.500000, 0.5396
92, 0.500000, 1.750000, 0.5332
93, 0.500000, 2.000000, 0.5392
94, 0.500000, 2.250000, 0.5228
95, 0.500000, 2.500000, 0.5284
96, 0.500000, 2.750000, 0.5376
97, 0.500000, 3.000000, 0.5094
98, 0.500000, 3.250000, 0.5126
99, 0.500000, 3.500000, 0.512
100, 0.500000, 3.750000, 0.5294
101, 0.500000, 4.000000, 0.518
102, 0.600000, 0.000000, 0.5754
103, 0.600000, 0.250000, 0.5598
104, 0.600000, 0.500000, 0.5554
