ID,p3,p4,p5,p6,winRate
0,0.0,0.0,0.0,1.0,0.7002
1,0.0,0.0,0.1,0.9,0.6970000000000001
2,0.0,0.0,0.2,0.8,0.6968
3,0.0,0.0,0.3,0.7,0.6968
4,0.0,0.0,0.4,0.6,0.6946
5,0.0,0.0,0.5,0.5,0.6892
6,0.0,0.0,0.6,0.4,0.6858
7,0.0,0.0,0.7,0.3,0.6902
8,0.0,0.0,0.8,0.2,0.6968
9,0.0,0.0,0.9,0.1,0.6992
10,0.0,0.0,1.0,0.0,0.6856
11,0.0,0.1,0.0,1.0,0.6852
12,0.0,0.1,0.1,0.9,0.6824
13,0.0,0.1,0.2,0.8,0.6794
14,0.0,0.1,0.3,0.7,0.6962
15,0.0,0.1,0.4,0.6,0.6902
16,0.0,0.1,0.5,0.5,0.7032
17,0.0,0.1,0.6,0.4,0.6878
18,0.0,0.1,0.7,0.3,0.6814
19,0.0,0.1,0.8,0.2,0.6828
20,0.0,0.1,0.9,0.1,0.6936
21,0.0,0.1,1.0,0.0,0.665
22,0.0,0.2,0.0,1.0,0.682
23,0.0,0.2,0.1,0.9,0.7036
24,0.0,0.2,0.2,0.8,0.6908
25,0.0,0.2,0.3,0.7,0.7024
26,0.0,0.2,0.4,0.6,0.696
27,0.0,0.2,0.5,0.5,0.6954
28,0.0,0.2,0.6,0.4,0.6968
29,0.0,0.2,0.7,0.3,0.6944
30,0.0,0.2,0.8,0.2,0.6964
31,0.0,0.2,0.9,0.1,0.6778
32,0.0,0.2,1.0,0.0,0.6798
33,0.0,0.3,0.0,1.0,0.6846
34,0.0,0.3,0.1,0.9,0.6954
35,0.0,0.3,0.2,0.8,0.6836
36,0.0,0.3,0.3,0.7,0.7078
37,0.0,0.3,0.4,0.6,0.6946
38,0.0,0.3,0.5,0.5,0.7076
39,0.0,0.3,0.6,0.4,0.6918
40,0.0,0.3,0.7,0.3,0.705
41,0.0,0.3,0.8,0.2,0.6896
42,0.0,0.3,0.9,0.1,0.684
43,0.0,0.3,1.0,0.0,0.674
44,0.0,0.4,0.0,1.0,0.6886
45,0.0,0.4,0.1,0.9,0.6934
46,0.0,0.4,0.2,0.8,0.705
47,0.0,0.4,0.3,0.7,0.6894
48,0.0,0.4,0.4,0.6,0.7034
49,0.0,0.4,0.5,0.5,0.7024
50,0.0,0.4,0.6,0.4,0.6994
51,0.0,0.4,0.7,0.3,0.6998
52,0.0,0.4,0.8,0.2,0.6876
53,0.0,0.4,0.9,0.1,0.6922
54,0.0,0.4,1.0,0.0,0.6836
55,0.0,0.5,0.0,1.0,0.6856
56,0.0,0.5,0.1,0.9,0.6962
57,0.0,0.5,0.2,0.8,0.6958
58,0.0,0.5,0.3,0.7,0.7062
59,0.0,0.5,0.4,0.6,0.7042
