ID,p0,p1,p2,winRate
0,0.0,0.5,0.5,0.7224
1,0.0,0.6,0.4,0.7136
2,0.0,0.7,0.3,0.7192
3,0.0,0.8,0.2,0.7190000000000001
4,0.0,0.9,0.1,0.716
5,0.0,1.0,0.0,0.7196
6,0.1,0.5,0.4,0.7418
7,0.1,0.6,0.3,0.7338
8,0.1,0.7,0.2,0.7306
9,0.1,0.8,0.1,0.7344
10,0.1,0.9,0.0,0.7308
11,0.2,0.4,0.4,0.725
12,0.2,0.5,0.3,0.7306
13,0.2,0.6,0.2,0.745
14,0.2,0.7,0.1,0.7336
15,0.2,0.8,0.0,0.7278
16,0.3,0.4,0.3,0.7458
17,0.3,0.5,0.2,0.7386
18,0.3,0.6,0.1,0.7256
19,0.3,0.7,0.0,0.7232
20,0.4,0.3,0.3,0.7308
21,0.4,0.4,0.2,0.7348
22,0.4,0.5,0.1,0.7412
23,0.4,0.6,0.0,0.7342
24,0.5,0.3,0.2,0.7326
25,0.5,0.4,0.1,0.736
26,0.5,0.5,0.0,0.7390000000000001
27,0.6,0.2,0.2,0.7328
28,0.6,0.3,0.1,0.7364
29,0.6,0.4,0.0,0.7346
30,0.7,0.2,0.1,0.7426
31,0.7,0.3,0.0,0.7286
32,0.8,0.1,0.1,0.7266
33,1.0,0.0,0.0,0.7240000000000001
