ID,p31,p32,p33,p34,p35,p36,winRate
0,0.0,0.0,0.0,0.0,0.0,1.0,0.677
1,0.0,0.0,0.0,0.0,0.1,0.9,0.6678
2,0.0,0.0,0.0,0.0,0.2,0.8,0.6612
3,0.0,0.0,0.0,0.0,0.3,0.7,0.6716
4,0.0,0.0,0.0,0.0,0.4,0.6,0.6772
5,0.0,0.0,0.0,0.0,0.5,0.5,0.6722
6,0.0,0.0,0.0,0.0,0.6,0.4,0.6708
7,0.0,0.0,0.0,0.0,0.7,0.3,0.6656
8,0.0,0.0,0.0,0.0,0.8,0.2,0.6734
9,0.0,0.0,0.0,0.0,0.9,0.1,0.6906
10,0.0,0.0,0.0,0.0,1.0,0.0,0.679
11,0.0,0.0,0.0,0.1,0.0,0.9,0.7134
12,0.0,0.0,0.0,0.1,0.1,0.8,0.7254
13,0.0,0.0,0.0,0.1,0.2,0.7,0.7166
14,0.0,0.0,0.0,0.1,0.3,0.6,0.7086
15,0.0,0.0,0.0,0.1,0.4,0.5,0.7228
16,0.0,0.0,0.0,0.1,0.5,0.4,0.7226
17,0.0,0.0,0.0,0.1,0.6,0.3,0.708
18,0.0,0.0,0.0,0.1,0.7,0.2,0.7226
19,0.0,0.0,0.0,0.1,0.8,0.1,0.7226
20,0.0,0.0,0.0,0.1,0.9,0.0,0.726
21,0.0,0.0,0.0,0.2,0.0,0.8,0.71
22,0.0,0.0,0.0,0.2,0.1,0.7,0.706
23,0.0,0.0,0.0,0.2,0.2,0.6,0.72
24,0.0,0.0,0.0,0.2,0.3,0.5,0.7126
25,0.0,0.0,0.0,0.2,0.4,0.4,0.7206
26,0.0,0.0,0.0,0.2,0.5,0.3,0.7140000000000001
27,0.0,0.0,0.0,0.2,0.6,0.2,0.711
28,0.0,0.0,0.0,0.2,0.7,0.1,0.7168
29,0.0,0.0,0.0,0.2,0.8,0.0,0.7164
30,0.0,0.0,0.0,0.3,0.0,0.7,0.7264
31,0.0,0.0,0.0,0.3,0.1,0.6,0.7228
32,0.0,0.0,0.0,0.3,0.2,0.5,0.7238
33,0.0,0.0,0.0,0.3,0.3,0.4,0.7248
34,0.0,0.0,0.0,0.3,0.4,0.3,0.7286
35,0.0,0.0,0.0,0.3,0.5,0.2,0.7262
36,0.0,0.0,0.0,0.3,0.6,0.1,0.7146
37,0.0,0.0,0.0,0.3,0.7,0.0,0.7186
38,0.0,0.0,0.0,0.4,0.0,0.6,0.7174
39,0.0,0.0,0.0,0.4,0.1,0.5,0.7262
40,0.0,0.0,0.0,0.4,0.2,0.4,0.725
41,0.0,0.0,0.0,0.4,0.3,0.3,0.7264
42,0.0,0.0,0.0,0.4,0.4,0.2,0.7298
43,0.0,0.0,0.0,0.4,0.5,0.1,0.7274
44,0.0,0.0,0.0,0.4,0.6,0.0,0.7288
45,0.0,0.0,0.0,0.5,0.0,0.5,0.7204
46,0.0,0.0,0.0,0.5,0.1,0.4,0.7254
47,0.0,0.0,0.0,0.5,0.2,0.3,0.711
48,0.0,0.0,0.0,0.5,0.3,0.2,0.7192
49,0.0,0.0,0.0,0.5,0.4,0.1,0.7258
50,0.0,0.0,0.0,0.5,0.5,0.0,0.7164
51,0.0,0.0,0.0,0.6,0.0,0.4,0.7116
52,0.0,0.0,0.0,0.6,0.1,0.3,0.7316
53,0.0,0.0,0.0,0.6,0.2,0.2,0.7338
54,0.0,0.0,0.0,0.6,0.3,0.1,0.7156
55,0.0,0.0,0.0,0.6,0.4,0.0,0.7256
56,0.0,0.0,0.0,0.7,0.0,0.3,0.7066
57,0.0,0.0,0.0,0.7,0.1,0.2,0.7058
58,0.0,0.0,0.0,0.7,0.2,0.1,0.706
59,0.0,0.0,0.0,0.7,0.3,0.0,0.7176
60,0.0,0.0,0.0,0.8,0.0,0.2,0.7036
61,0.0,0.0,0.0,0.8,0.1,0.1,0.7074
62,0.0,0.0,0.0,0.8,0.2,0.0,0.7168
63,0.0,0.0,0.0,0.9,0.0,0.1,0.6938
64,0.0,0.0,0.0,0.9,0.1,0.0,0.7064
65,0.0,0.0,0.0,1.0,0.0,0.0,0.6764
66,0.0,0.0,0.1,0.0,0.0,0.9,0.6698
67,0.0,0.0,0.1,0.0,0.1,0.8,0.6776
68,0.0,0.0,0.1,0.0,0.2,0.7,0.6824
69,0.0,0.0,0.1,0.0,0.3,0.6,0.6634
70,0.0,0.0,0.1,0.0,0.4,0.5,0.6778
71,0.0,0.0,0.1,0.0,0.5,0.4,0.675
72,0.0,0.0,0.1,0.0,0.6,0.3,0.6634
73,0.0,0.0,0.1,0.0,0.7,0.2,0.6758
74,0.0,0.0,0.1,0.0,0.8,0.1,0.6654
75,0.0,0.0,0.1,0.0,0.9,0.0,0.6784
76,0.0,0.0,0.1,0.1,0.0,0.8,0.7202
77,0.0,0.0,0.1,0.1,0.1,0.7,0.7168
78,0.0,0.0,0.1,0.1,0.2,0.6,0.7132
79,0.0,0.0,0.1,0.1,0.3,0.5,0.7138
80,0.0,0.0,0.1,0.1,0.4,0.4,0.7218
81,0.0,0.0,0.1,0.1,0.5,0.3,0.701
82,0.0,0.0,0.1,0.1,0.6,0.2,0.7184
83,0.0,0.0,0.1,0.1,0.7,0.1,0.7194
84,0.0,0.0,0.1,0.1,0.8,0.0,0.7124
85,0.0,0.0,0.1,0.2,0.0,0.7,0.727
86,0.0,0.0,0.1,0.2,0.1,0.6,0.7236
87,0.0,0.0,0.1,0.2,0.2,0.5,0.7088
88,0.0,0.0,0.1,0.2,0.3,0.4,0.7114
89,0.0,0.0,0.1,0.2,0.4,0.3,0.72
90,0.0,0.0,0.1,0.2,0.5,0.2,0.7344
91,0.0,0.0,0.1,0.2,0.6,0.1,0.7184
92,0.0,0.0,0.1,0.2,0.7,0.0,0.72
93,0.0,0.0,0.1,0.3,0.0,0.6,0.7108
94,0.0,0.0,0.1,0.3,0.1,0.5,0.7188
95,0.0,0.0,0.1,0.3,0.2,0.4,0.7284
96,0.0,0.0,0.1,0.3,0.3,0.3,0.7236
97,0.0,0.0,0.1,0.3,0.4,0.2,0.7208
98,0.0,0.0,0.1,0.3,0.5,0.1,0.7258
99,0.0,0.0,0.1,0.3,0.6,0.0,0.7158
100,0.0,0.0,0.1,0.4,0.0,0.5,0.7308
101,0.0,0.0,0.1,0.4,0.1,0.4,0.7234
102,0.0,0.0,0.1,0.4,0.2,0.3,0.7272
103,0.0,0.0,0.1,0.4,0.3,0.2,0.7208
104,0.0,0.0,0.1,0.4,0.4,0.1,0.7274
105,0.0,0.0,0.1,0.4,0.5,0.0,0.726
106,0.0,0.0,0.1,0.5,0.0,0.4,0.7234
107,0.0,0.0,0.1,0.5,0.1,0.3,0.7202
108,0.0,0.0,0.1,0.5,0.2,0.2,0.7162
109,0.0,0.0,0.1,0.5,0.3,0.1,0.7204
110,0.0,0.0,0.1,0.5,0.4,0.0,0.7306
111,0.0,0.0,0.1,0.6,0.0,0.3,0.7144
112,0.0,0.0,0.1,0.6,0.1,0.2,0.7122
113,0.0,0.0,0.1,0.6,0.2,0.1,0.7122
114,0.0,0.0,0.1,0.6,0.3,0.0,0.7158
115,0.0,0.0,0.1,0.7,0.0,0.2,0.701
116,0.0,0.0,0.1,0.7,0.1,0.1,0.7094
117,0.0,0.0,0.1,0.7,0.2,0.0,0.7136
118,0.0,0.0,0.1,0.8,0.0,0.1,0.7026
119,0.0,0.0,0.1,0.8,0.1,0.0,0.7036
120,0.0,0.0,0.1,0.9,0.0,0.0,0.6874
121,0.0,0.0,0.2,0.0,0.0,0.8,0.6876
122,0.0,0.0,0.2,0.0,0.1,0.7,0.6762
123,0.0,0.0,0.2,0.0,0.2,0.6,0.6706
124,0.0,0.0,0.2,0.0,0.3,0.5,0.6766
125,0.0,0.0,0.2,0.0,0.4,0.4,0.6768
126,0.0,0.0,0.2,0.0,0.5,0.3,0.672
127,0.0,0.0,0.2,0.0,0.6,0.2,0.6738
128,0.0,0.0,0.2,0.0,0.7,0.1,0.6762
129,0.0,0.0,0.2,0.0,0.8,0.0,0.6786
130,0.0,0.0,0.2,0.1,0.0,0.7,0.7136
131,0.0,0.0,0.2,0.1,0.1,0.6,0.7086
132,0.0,0.0,0.2,0.1,0.2,0.5,0.7148
133,0.0,0.0,0.2,0.1,0.3,0.4,0.7224
134,0.0,0.0,0.2,0.1,0.4,0.3,0.7124
135,0.0,0.0,0.2,0.1,0.5,0.2,0.7148
136,0.0,0.0,0.2,0.1,0.6,0.1,0.7064
137,0.0,0.0,0.2,0.1,0.7,0.0,0.7078
138,0.0,0.0,0.2,0.2,0.0,0.6,0.7166
139,0.0,0.0,0.2,0.2,0.1,0.5,0.7244
140,0.0,0.0,0.2,0.2,0.2,0.4,0.7194
141,0.0,0.0,0.2,0.2,0.3,0.3,0.72
142,0.0,0.0,0.2,0.2,0.4,0.2,0.7196
143,0.0,0.0,0.2,0.2,0.5,0.1,0.721
144,0.0,0.0,0.2,0.2,0.6,0.0,0.7162
145,0.0,0.0,0.2,0.3,0.0,0.5,0.7274
146,0.0,0.0,0.2,0.3,0.1,0.4,0.7244
147,0.0,0.0,0.2,0.3,0.2,0.3,0.7304
148,0.0,0.0,0.2,0.3,0.3,0.2,0.7170000000000001
149,0.0,0.0,0.2,0.3,0.4,0.1,0.7328
150,0.0,0.0,0.2,0.3,0.5,0.0,0.7266
151,0.0,0.0,0.2,0.4,0.0,0.4,0.7258
152,0.0,0.0,0.2,0.4,0.1,0.3,0.7354
153,0.0,0.0,0.2,0.4,0.2,0.2,0.718
154,0.0,0.0,0.2,0.4,0.3,0.1,0.7236
155,0.0,0.0,0.2,0.4,0.4,0.0,0.7212
156,0.0,0.0,0.2,0.5,0.0,0.3,0.7326
157,0.0,0.0,0.2,0.5,0.1,0.2,0.7202
158,0.0,0.0,0.2,0.5,0.2,0.1,0.7238
159,0.0,0.0,0.2,0.5,0.3,0.0,0.7172
160,0.0,0.0,0.2,0.6,0.0,0.2,0.7138
161,0.0,0.0,0.2,0.6,0.1,0.1,0.725
162,0.0,0.0,0.2,0.6,0.2,0.0,0.708
163,0.0,0.0,0.2,0.7,0.0,0.1,0.706
164,0.0,0.0,0.2,0.7,0.1,0.0,0.7166
165,0.0,0.0,0.2,0.8,0.0,0.0,0.6996
166,0.0,0.0,0.3,0.0,0.0,0.7,0.6808
167,0.0,0.0,0.3,0.0,0.1,0.6,0.6716
168,0.0,0.0,0.3,0.0,0.2,0.5,0.6804
169,0.0,0.0,0.3,0.0,0.3,0.4,0.6758
170,0.0,0.0,0.3,0.0,0.4,0.3,0.6606
171,0.0,0.0,0.3,0.0,0.5,0.2,0.674
172,0.0,0.0,0.3,0.0,0.6,0.1,0.6704
173,0.0,0.0,0.3,0.0,0.7,0.0,0.6666
174,0.0,0.0,0.3,0.1,0.0,0.6,0.7102
175,0.0,0.0,0.3,0.1,0.1,0.5,0.7120000000000001
176,0.0,0.0,0.3,0.1,0.2,0.4,0.7064
177,0.0,0.0,0.3,0.1,0.3,0.3,0.7070000000000001
178,0.0,0.0,0.3,0.1,0.4,0.2,0.7204
179,0.0,0.0,0.3,0.1,0.5,0.1,0.7136
180,0.0,0.0,0.3,0.1,0.6,0.0,0.7066
181,0.0,0.0,0.3,0.2,0.0,0.5,0.7212
182,0.0,0.0,0.3,0.2,0.1,0.4,0.7246
183,0.0,0.0,0.3,0.2,0.2,0.3,0.7170000000000001
184,0.0,0.0,0.3,0.2,0.3,0.2,0.7168
185,0.0,0.0,0.3,0.2,0.4,0.1,0.7178
186,0.0,0.0,0.3,0.2,0.5,0.0,0.7194
187,0.0,0.0,0.3,0.3,0.0,0.4,0.7304
188,0.0,0.0,0.3,0.3,0.1,0.3,0.7342
189,0.0,0.0,0.3,0.3,0.2,0.2,0.7164
190,0.0,0.0,0.3,0.3,0.3,0.1,0.7306
191,0.0,0.0,0.3,0.3,0.4,0.0,0.7188
192,0.0,0.0,0.3,0.4,0.0,0.3,0.7334
193,0.0,0.0,0.3,0.4,0.1,0.2,0.7284
194,0.0,0.0,0.3,0.4,0.2,0.1,0.7176
195,0.0,0.0,0.3,0.4,0.3,0.0,0.7238
196,0.0,0.0,0.3,0.5,0.0,0.2,0.7264
197,0.0,0.0,0.3,0.5,0.1,0.1,0.7268
198,0.0,0.0,0.3,0.5,0.2,0.0,0.7314
199,0.0,0.0,0.3,0.6,0.0,0.1,0.7094
200,0.0,0.0,0.3,0.6,0.1,0.0,0.7192
201,0.0,0.0,0.3,0.7,0.0,0.0,0.7146
202,0.0,0.0,0.4,0.0,0.0,0.6,0.6718
203,0.0,0.0,0.4,0.0,0.1,0.5,0.6718
204,0.0,0.0,0.4,0.0,0.2,0.4,0.6674
205,0.0,0.0,0.4,0.0,0.3,0.3,0.6792
206,0.0,0.0,0.4,0.0,0.4,0.2,0.6652
207,0.0,0.0,0.4,0.0,0.5,0.1,0.6709999999999999
208,0.0,0.0,0.4,0.0,0.6,0.0,0.6812
209,0.0,0.0,0.4,0.1,0.0,0.5,0.73
210,0.0,0.0,0.4,0.1,0.1,0.4,0.7108
211,0.0,0.0,0.4,0.1,0.2,0.3,0.7178
212,0.0,0.0,0.4,0.1,0.3,0.2,0.7152
213,0.0,0.0,0.4,0.1,0.4,0.1,0.7208
214,0.0,0.0,0.4,0.1,0.5,0.0,0.7174
215,0.0,0.0,0.4,0.2,0.0,0.4,0.7192
216,0.0,0.0,0.4,0.2,0.1,0.3,0.731
217,0.0,0.0,0.4,0.2,0.2,0.2,0.7240000000000001
218,0.0,0.0,0.4,0.2,0.3,0.1,0.7272
219,0.0,0.0,0.4,0.2,0.4,0.0,0.7382
220,0.0,0.0,0.4,0.3,0.0,0.3,0.7326
221,0.0,0.0,0.4,0.3,0.1,0.2,0.7258
222,0.0,0.0,0.4,0.3,0.2,0.1,0.7258
223,0.0,0.0,0.4,0.3,0.3,0.0,0.7196
224,0.0,0.0,0.4,0.4,0.0,0.2,0.7274
225,0.0,0.0,0.4,0.4,0.1,0.1,0.7192
226,0.0,0.0,0.4,0.4,0.2,0.0,0.7278
227,0.0,0.0,0.4,0.5,0.0,0.1,0.7048
228,0.0,0.0,0.4,0.5,0.1,0.0,0.7148
229,0.0,0.0,0.4,0.6,0.0,0.0,0.713
230,0.0,0.0,0.5,0.0,0.0,0.5,0.6628
231,0.0,0.0,0.5,0.0,0.1,0.4,0.6659999999999999
232,0.0,0.0,0.5,0.0,0.2,0.3,0.6756
233,0.0,0.0,0.5,0.0,0.3,0.2,0.6576
234,0.0,0.0,0.5,0.0,0.4,0.1,0.6736
235,0.0,0.0,0.5,0.0,0.5,0.0,0.6696
236,0.0,0.0,0.5,0.1,0.0,0.4,0.7228
237,0.0,0.0,0.5,0.1,0.1,0.3,0.7158
238,0.0,0.0,0.5,0.1,0.2,0.2,0.72
239,0.0,0.0,0.5,0.1,0.3,0.1,0.7114
240,0.0,0.0,0.5,0.1,0.4,0.0,0.7126
241,0.0,0.0,0.5,0.2,0.0,0.3,0.7288
242,0.0,0.0,0.5,0.2,0.1,0.2,0.7212
243,0.0,0.0,0.5,0.2,0.2,0.1,0.7340000000000001
244,0.0,0.0,0.5,0.2,0.3,0.0,0.7284
245,0.0,0.0,0.5,0.3,0.0,0.2,0.7334
246,0.0,0.0,0.5,0.3,0.1,0.1,0.7252
247,0.0,0.0,0.5,0.3,0.2,0.0,0.7248
248,0.0,0.0,0.5,0.4,0.0,0.1,0.7196
249,0.0,0.0,0.5,0.4,0.1,0.0,0.7358
250,0.0,0.0,0.5,0.5,0.0,0.0,0.7212
251,0.0,0.0,0.6,0.0,0.0,0.4,0.6728
252,0.0,0.0,0.6,0.0,0.1,0.3,0.6654
253,0.0,0.0,0.6,0.0,0.2,0.2,0.6794
254,0.0,0.0,0.6,0.0,0.3,0.1,0.6754
255,0.0,0.0,0.6,0.0,0.4,0.0,0.6692
256,0.0,0.0,0.6,0.1,0.0,0.3,0.7274
257,0.0,0.0,0.6,0.1,0.1,0.2,0.7196
258,0.0,0.0,0.6,0.1,0.2,0.1,0.7286
259,0.0,0.0,0.6,0.1,0.3,0.0,0.7252
260,0.0,0.0,0.6,0.2,0.0,0.2,0.735
261,0.0,0.0,0.6,0.2,0.1,0.1,0.7248
