ID,p22,p23,winRate
0,0.0,0.0,0.5674
1,0.0,0.25,0.5596
2,0.0,0.5,0.5806
3,0.0,0.75,0.5734
4,0.0,1.0,0.5666
5,0.0,1.25,0.5754
6,0.0,1.5,0.5656
7,0.0,1.75,0.5588
8,0.0,2.0,0.5604
9,0.0,2.25,0.5756
10,0.0,2.5,0.5706
11,0.0,2.75,0.555
12,0.0,3.0,0.5604
13,0.0,3.25,0.5688
14,0.0,3.5,0.5726
15,0.0,3.75,0.5758
16,0.0,4.0,0.5714
17,0.1,0.0,0.64
18,0.1,0.25,0.6652
19,0.1,0.5,0.6884
20,0.1,0.75,0.6862
21,0.1,1.0,0.7202
22,0.1,1.25,0.7176
23,0.1,1.5,0.7264
24,0.1,1.75,0.728
25,0.1,2.0,0.7172
26,0.1,2.25,0.7216
27,0.1,2.5,0.7226
28,0.1,2.75,0.7258
29,0.1,3.0,0.7278
30,0.1,3.25,0.7186
31,0.1,3.5,0.723
32,0.1,3.75,0.7258
33,0.1,4.0,0.7196
34,0.2,0.0,0.6726
35,0.2,0.25,0.7056
36,0.2,0.5,0.7086
37,0.2,0.75,0.7128
38,0.2,1.0,0.7208
39,0.2,1.25,0.731
40,0.2,1.5,0.7314
41,0.2,1.75,0.7244
42,0.2,2.0,0.728
43,0.2,2.25,0.732
44,0.2,2.5,0.7164
45,0.2,2.75,0.7248
46,0.2,3.0,0.7234
47,0.2,3.25,0.7334
48,0.2,3.5,0.7288
49,0.2,3.75,0.7248
50,0.2,4.0,0.7302
51,0.3,0.0,0.7098
52,0.3,0.25,0.722
53,0.3,0.5,0.7144
54,0.3,0.75,0.7264
55,0.3,1.0,0.7262
56,0.3,1.25,0.7258
57,0.3,1.5,0.73
58,0.3,1.75,0.7358
59,0.3,2.0,0.7232
60,0.3,2.25,0.7356
61,0.3,2.5,0.7340000000000001
62,0.3,2.75,0.726
63,0.3,3.0,0.7418
64,0.3,3.25,0.7416
65,0.3,3.5,0.7384
66,0.3,3.75,0.7274
67,0.3,4.0,0.7278
68,0.4,0.0,0.7118
69,0.4,0.25,0.7098
70,0.4,0.5,0.726
71,0.4,0.75,0.7228
72,0.4,1.0,0.7186
73,0.4,1.25,0.721
74,0.4,1.5,0.7258
75,0.4,1.75,0.7426
76,0.4,2.0,0.7240000000000001
77,0.4,2.25,0.7216
78,0.4,2.5,0.7336
79,0.4,2.75,0.7276
80,0.4,3.0,0.7322
81,0.4,3.25,0.732
82,0.4,3.5,0.7274
83,0.4,3.75,0.7254
84,0.4,4.0,0.7284
85,0.5,0.0,0.7154
86,0.5,0.25,0.732
87,0.5,0.5,0.7290000000000001
88,0.5,0.75,0.7282
89,0.5,1.0,0.7348
90,0.5,1.25,0.7362
91,0.5,1.5,0.732
92,0.5,1.75,0.7426
93,0.5,2.0,0.7346
94,0.5,2.25,0.7256
95,0.5,2.5,0.7302
96,0.5,2.75,0.73
97,0.5,3.0,0.7422
98,0.5,3.25,0.7278
99,0.5,3.5,0.7266
100,0.5,3.75,0.72
101,0.5,4.0,0.7354
102,0.6,0.0,0.7174
103,0.6,0.25,0.7362
104,0.6,0.5,0.715
105,0.6,0.75,0.7354
106,0.6,1.0,0.7416
107,0.6,1.25,0.7348
108,0.6,1.5,0.7290000000000001
109,0.6,1.75,0.7232
110,0.6,2.0,0.7326
111,0.6,2.25,0.7246
112,0.6,2.5,0.7374
113,0.6,2.75,0.7116
114,0.6,3.0,0.7392
115,0.6,3.25,0.7332
116,0.6,3.5,0.725
117,0.6,3.75,0.7340000000000001
118,0.6,4.0,0.7326
119,0.7,0.0,0.7208
120,0.7,0.25,0.7352
121,0.7,0.5,0.7274
122,0.7,0.75,0.7346
123,0.7,1.0,0.733
124,0.7,1.25,0.7314
125,0.7,1.5,0.7264
126,0.7,1.75,0.7312
127,0.7,2.0,0.7316
128,0.7,2.25,0.7306
129,0.7,2.5,0.7276
130,0.7,2.75,0.7338
131,0.7,3.0,0.7262
132,0.7,3.25,0.733
133,0.7,3.5,0.732
134,0.7,3.75,0.732
135,0.7,4.0,0.7336
136,0.8,0.0,0.7182
137,0.8,0.25,0.731
138,0.8,0.5,0.7392
139,0.8,0.75,0.7236
140,0.8,1.0,0.738
141,0.8,1.25,0.7264
142,0.8,1.5,0.725
143,0.8,1.75,0.7258
144,0.8,2.0,0.7468
145,0.8,2.25,0.7294
146,0.8,2.5,0.7358
147,0.8,2.75,0.7236
148,0.8,3.0,0.7356
149,0.8,3.25,0.7224
150,0.8,3.5,0.7274
151,0.8,3.75,0.7314
152,0.8,4.0,0.7296
153,0.9,0.0,0.7206
154,0.9,0.25,0.7366
155,0.9,0.5,0.7344
156,0.9,0.75,0.7288
157,0.9,1.0,0.7298
158,0.9,1.25,0.7238
159,0.9,1.5,0.7382
160,0.9,1.75,0.7316
161,0.9,2.0,0.7282
162,0.9,2.25,0.7152
163,0.9,2.5,0.741
164,0.9,2.75,0.7314
165,0.9,3.0,0.7424
166,0.9,3.25,0.7194
167,0.9,3.5,0.7316
168,0.9,3.75,0.7190000000000001
169,0.9,4.0,0.7244
170,1.0,0.0,0.7204
171,1.0,0.25,0.7374
172,1.0,0.5,0.7266
173,1.0,0.75,0.727
174,1.0,1.0,0.7316
175,1.0,1.25,0.7318
176,1.0,1.5,0.7238
177,1.0,1.75,0.7262
178,1.0,2.0,0.7302
179,1.0,2.25,0.7338
180,1.0,2.5,0.7382
181,1.0,2.75,0.7256
182,1.0,3.0,0.7382
183,1.0,3.25,0.7166
184,1.0,3.5,0.7474
185,1.0,3.75,0.7292
186,1.0,4.0,0.7272
