ID,p3,p4,p5,p6,winRate
0, 0.000000, 0.000000, 0.000000, 1.000000, 0.7002
1, 0.000000, 0.000000, 0.100000, 0.900000, 0.697
2, 0.000000, 0.000000, 0.200000, 0.800000, 0.6968
3, 0.000000, 0.000000, 0.300000, 0.700000, 0.6968
4, 0.000000, 0.000000, 0.400000, 0.600000, 0.6946
5, 0.000000, 0.000000, 0.500000, 0.500000, 0.6892
6, 0.000000, 0.000000, 0.600000, 0.400000, 0.6858
7, 0.000000, 0.000000, 0.700000, 0.300000, 0.6902
8, 0.000000, 0.000000, 0.800000, 0.200000, 0.6968
9, 0.000000, 0.000000, 0.900000, 0.100000, 0.6992
10, 0.000000, 0.000000, 1.000000, 0.000000, 0.6856
11, 0.000000, 0.100000, 0.000000, 1.000000, 0.6852
12, 0.000000, 0.100000, 0.100000, 0.900000, 0.6824
13, 0.000000, 0.100000, 0.200000, 0.800000, 0.6794
14, 0.000000, 0.100000, 0.300000, 0.700000, 0.6962
15, 0.000000, 0.100000, 0.400000, 0.600000, 0.6902
16, 0.000000, 0.100000, 0.500000, 0.500000, 0.7032
17, 0.000000, 0.100000, 0.600000, 0.400000, 0.6878
18, 0.000000, 0.100000, 0.700000, 0.300000, 0.6814
19, 0.000000, 0.100000, 0.800000, 0.200000, 0.6828
20, 0.000000, 0.100000, 0.900000, 0.100000, 0.6936
21, 0.000000, 0.100000, 1.000000, 0.000000, 0.665
22, 0.000000, 0.200000, 0.000000, 1.000000, 0.682
23, 0.000000, 0.200000, 0.100000, 0.900000, 0.7036
24, 0.000000, 0.200000, 0.200000, 0.800000, 0.6908
25, 0.000000, 0.200000, 0.300000, 0.700000, 0.7024
26, 0.000000, 0.200000, 0.400000, 0.600000, 0.696
27, 0.000000, 0.200000, 0.500000, 0.500000, 0.6954
28, 0.000000, 0.200000, 0.600000, 0.400000, 0.6968
29, 0.000000, 0.200000, 0.700000, 0.300000, 0.6944
30, 0.000000, 0.200000, 0.800000, 0.200000, 0.6964
31, 0.000000, 0.200000, 0.900000, 0.100000, 0.6778
32, 0.000000, 0.200000, 1.000000, 0.000000, 0.6798
33, 0.000000, 0.300000, 0.000000, 1.000000, 0.6846
34, 0.000000, 0.300000, 0.100000, 0.900000, 0.6954
35, 0.000000, 0.300000, 0.200000, 0.800000, 0.6836
36, 0.000000, 0.300000, 0.300000, 0.700000, 0.7078
37, 0.000000, 0.300000, 0.400000, 0.600000, 0.6946
38, 0.000000, 0.300000, 0.500000, 0.500000, 0.7076
39, 0.000000, 0.300000, 0.600000, 0.400000, 0.6918
40, 0.000000, 0.300000, 0.700000, 0.300000, 0.705
41, 0.000000, 0.300000, 0.800000, 0.200000, 0.6896
42, 0.000000, 0.300000, 0.900000, 0.100000, 0.684
43, 0.000000, 0.300000, 1.000000, 0.000000, 0.674
44, 0.000000, 0.400000, 0.000000, 1.000000, 0.6886
45, 0.000000, 0.400000, 0.100000, 0.900000, 0.6934
46, 0.000000, 0.400000, 0.200000, 0.800000, 0.705
47, 0.000000, 0.400000, 0.300000, 0.700000, 0.6894
48, 0.000000, 0.400000, 0.400000, 0.600000, 0.7034
49, 0.000000, 0.400000, 0.500000, 0.500000, 0.7024
50, 0.000000, 0.400000, 0.600000, 0.400000, 0.6994
51, 0.000000, 0.400000, 0.700000, 0.300000, 0.6998
52, 0.000000, 0.400000, 0.800000, 0.200000, 0.6876
53, 0.000000, 0.400000, 0.900000, 0.100000, 0.6922
54, 0.000000, 0.400000, 1.000000, 0.000000, 0.6836
55, 0.000000, 0.500000, 0.000000, 1.000000, 0.6856
56, 0.000000, 0.500000, 0.100000, 0.900000, 0.6962
