ID,p0,p1,p2,winRate
0, 0.000000, 0.500000, 0.500000, 0.7224
1, 0.000000, 0.600000, 0.400000, 0.7136
2, 0.000000, 0.700000, 0.300000, 0.7192
3, 0.000000, 0.800000, 0.200000, 0.719
4, 0.000000, 0.900000, 0.100000, 0.716
5, 0.000000, 1.000000, 0.000000, 0.7196
6, 0.100000, 0.500000, 0.400000, 0.7418
7, 0.100000, 0.600000, 0.300000, 0.7338
8, 0.100000, 0.700000, 0.200000, 0.7306
9, 0.100000, 0.800000, 0.100000, 0.7344
10, 0.100000, 0.900000, 0.000000, 0.7308
11, 0.200000, 0.400000, 0.400000, 0.725
12, 0.200000, 0.500000, 0.300000, 0.7306
13, 0.200000, 0.600000, 0.200000, 0.745
14, 0.200000, 0.700000, 0.100000, 0.7336
15, 0.200000, 0.800000, 0.000000, 0.7278
16, 0.300000, 0.400000, 0.300000, 0.7458
17, 0.300000, 0.500000, 0.200000, 0.7386
18, 0.300000, 0.600000, 0.100000, 0.7256
19, 0.300000, 0.700000, 0.000000, 0.7232
20, 0.400000, 0.300000, 0.300000, 0.7308
21, 0.400000, 0.400000, 0.200000, 0.7348
22, 0.400000, 0.500000, 0.100000, 0.7412
23, 0.400000, 0.600000, 0.000000, 0.7342
24, 0.500000, 0.300000, 0.200000, 0.7326
25, 0.500000, 0.400000, 0.100000, 0.736
26, 0.500000, 0.500000, 0.000000, 0.739
27, 0.600000, 0.200000, 0.200000, 0.7328
28, 0.600000, 0.300000, 0.100000, 0.7364
29, 0.600000, 0.400000, 0.000000, 0.7346
30, 0.700000, 0.200000, 0.100000, 0.7426
31, 0.700000, 0.300000, 0.000000, 0.7286
32, 0.800000, 0.100000, 0.100000, 0.7266
33, 1.000000, 0.000000, 0.000000, 0.724
