ID,p31,p32,p33,p34,p35,p36,winRate
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.677
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.100000, 0.900000, 0.6678
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.200000, 0.800000, 0.6612
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.300000, 0.700000, 0.6716
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.400000, 0.600000, 0.6772
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.500000, 0.6722
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.600000, 0.400000, 0.6708
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.700000, 0.300000, 0.6656
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.800000, 0.200000, 0.6734
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.900000, 0.100000, 0.6906
10, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.679
11, 0.000000, 0.000000, 0.000000, 0.100000, 0.000000, 0.900000, 0.7134
12, 0.000000, 0.000000, 0.000000, 0.100000, 0.100000, 0.800000, 0.7254
13, 0.000000, 0.000000, 0.000000, 0.100000, 0.200000, 0.700000, 0.7166
14, 0.000000, 0.000000, 0.000000, 0.100000, 0.300000, 0.600000, 0.7086
15, 0.000000, 0.000000, 0.000000, 0.100000, 0.400000, 0.500000, 0.7228
16, 0.000000, 0.000000, 0.000000, 0.100000, 0.500000, 0.400000, 0.7226
17, 0.000000, 0.000000, 0.000000, 0.100000, 0.600000, 0.300000, 0.708
18, 0.000000, 0.000000, 0.000000, 0.100000, 0.700000, 0.200000, 0.7226
19, 0.000000, 0.000000, 0.000000, 0.100000, 0.800000, 0.100000, 0.7226
20, 0.000000, 0.000000, 0.000000, 0.100000, 0.900000, 0.000000, 0.726
21, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.800000, 0.71
22, 0.000000, 0.000000, 0.000000, 0.200000, 0.100000, 0.700000, 0.706
23, 0.000000, 0.000000, 0.000000, 0.200000, 0.200000, 0.600000, 0.72
24, 0.000000, 0.000000, 0.000000, 0.200000, 0.300000, 0.500000, 0.7126
25, 0.000000, 0.000000, 0.000000, 0.200000, 0.400000, 0.400000, 0.7206
26, 0.000000, 0.000000, 0.000000, 0.200000, 0.500000, 0.300000, 0.714
27, 0.000000, 0.000000, 0.000000, 0.200000, 0.600000, 0.200000, 0.711
28, 0.000000, 0.000000, 0.000000, 0.200000, 0.700000, 0.100000, 0.7168
29, 0.000000, 0.000000, 0.000000, 0.200000, 0.800000, 0.000000, 0.7164
30, 0.000000, 0.000000, 0.000000, 0.300000, 0.000000, 0.700000, 0.7264
31, 0.000000, 0.000000, 0.000000, 0.300000, 0.100000, 0.600000, 0.7228
32, 0.000000, 0.000000, 0.000000, 0.300000, 0.200000, 0.500000, 0.7238
33, 0.000000, 0.000000, 0.000000, 0.300000, 0.300000, 0.400000, 0.7248
34, 0.000000, 0.000000, 0.000000, 0.300000, 0.400000, 0.300000, 0.7286
35, 0.000000, 0.000000, 0.000000, 0.300000, 0.500000, 0.200000, 0.7262
36, 0.000000, 0.000000, 0.000000, 0.300000, 0.600000, 0.100000, 0.7146
37, 0.000000, 0.000000, 0.000000, 0.300000, 0.700000, 0.000000, 0.7186
38, 0.000000, 0.000000, 0.000000, 0.400000, 0.000000, 0.600000, 0.7174
39, 0.000000, 0.000000, 0.000000, 0.400000, 0.100000, 0.500000, 0.7262
40, 0.000000, 0.000000, 0.000000, 0.400000, 0.200000, 0.400000, 0.725
41, 0.000000, 0.000000, 0.000000, 0.400000, 0.300000, 0.300000, 0.7264
42, 0.000000, 0.000000, 0.000000, 0.400000, 0.400000, 0.200000, 0.7298
43, 0.000000, 0.000000, 0.000000, 0.400000, 0.500000, 0.100000, 0.7274
44, 0.000000, 0.000000, 0.000000, 0.400000, 0.600000, 0.000000, 0.7288
45, 0.000000, 0.000000, 0.000000, 0.500000, 0.000000, 0.500000, 0.7204
46, 0.000000, 0.000000, 0.000000, 0.500000, 0.100000, 0.400000, 0.7254
47, 0.000000, 0.000000, 0.000000, 0.500000, 0.200000, 0.300000, 0.711
48, 0.000000, 0.000000, 0.000000, 0.500000, 0.300000, 0.200000, 0.7192
49, 0.000000, 0.000000, 0.000000, 0.500000, 0.400000, 0.100000, 0.7258
50, 0.000000, 0.000000, 0.000000, 0.500000, 0.500000, 0.000000, 0.7164
51, 0.000000, 0.000000, 0.000000, 0.600000, 0.000000, 0.400000, 0.7116
52, 0.000000, 0.000000, 0.000000, 0.600000, 0.100000, 0.300000, 0.7316
53, 0.000000, 0.000000, 0.000000, 0.600000, 0.200000, 0.200000, 0.7338
54, 0.000000, 0.000000, 0.000000, 0.600000, 0.300000, 0.100000, 0.7156
55, 0.000000, 0.000000, 0.000000, 0.600000, 0.400000, 0.000000, 0.7256
56, 0.000000, 0.000000, 0.000000, 0.700000, 0.000000, 0.300000, 0.7066
57, 0.000000, 0.000000, 0.000000, 0.700000, 0.100000, 0.200000, 0.7058
58, 0.000000, 0.000000, 0.000000, 0.700000, 0.200000, 0.100000, 0.706
59, 0.000000, 0.000000, 0.000000, 0.700000, 0.300000, 0.000000, 0.7176
60, 0.000000, 0.000000, 0.000000, 0.800000, 0.000000, 0.200000, 0.7036
61, 0.000000, 0.000000, 0.000000, 0.800000, 0.100000, 0.100000, 0.7074
62, 0.000000, 0.000000, 0.000000, 0.800000, 0.200000, 0.000000, 0.7168
63, 0.000000, 0.000000, 0.000000, 0.900000, 0.000000, 0.100000, 0.6938
64, 0.000000, 0.000000, 0.000000, 0.900000, 0.100000, 0.000000, 0.7064
65, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.6764
66, 0.000000, 0.000000, 0.100000, 0.000000, 0.000000, 0.900000, 0.6698
67, 0.000000, 0.000000, 0.100000, 0.000000, 0.100000, 0.800000, 0.6776
68, 0.000000, 0.000000, 0.100000, 0.000000, 0.200000, 0.700000, 0.6824
69, 0.000000, 0.000000, 0.100000, 0.000000, 0.300000, 0.600000, 0.6634
70, 0.000000, 0.000000, 0.100000, 0.000000, 0.400000, 0.500000, 0.6778
71, 0.000000, 0.000000, 0.100000, 0.000000, 0.500000, 0.400000, 0.675
72, 0.000000, 0.000000, 0.100000, 0.000000, 0.600000, 0.300000, 0.6634
73, 0.000000, 0.000000, 0.100000, 0.000000, 0.700000, 0.200000, 0.6758
74, 0.000000, 0.000000, 0.100000, 0.000000, 0.800000, 0.100000, 0.6654
75, 0.000000, 0.000000, 0.100000, 0.000000, 0.900000, 0.000000, 0.6784
76, 0.000000, 0.000000, 0.100000, 0.100000, 0.000000, 0.800000, 0.7202
77, 0.000000, 0.000000, 0.100000, 0.100000, 0.100000, 0.700000, 0.7168
78, 0.000000, 0.000000, 0.100000, 0.100000, 0.200000, 0.600000, 0.7132
79, 0.000000, 0.000000, 0.100000, 0.100000, 0.300000, 0.500000, 0.7138
80, 0.000000, 0.000000, 0.100000, 0.100000, 0.400000, 0.400000, 0.7218
81, 0.000000, 0.000000, 0.100000, 0.100000, 0.500000, 0.300000, 0.701
82, 0.000000, 0.000000, 0.100000, 0.100000, 0.600000, 0.200000, 0.7184
83, 0.000000, 0.000000, 0.100000, 0.100000, 0.700000, 0.100000, 0.7194
84, 0.000000, 0.000000, 0.100000, 0.100000, 0.800000, 0.000000, 0.7124
85, 0.000000, 0.000000, 0.100000, 0.200000, 0.000000, 0.700000, 0.727
86, 0.000000, 0.000000, 0.100000, 0.200000, 0.100000, 0.600000, 0.7236
87, 0.000000, 0.000000, 0.100000, 0.200000, 0.200000, 0.500000, 0.7088
88, 0.000000, 0.000000, 0.100000, 0.200000, 0.300000, 0.400000, 0.7114
89, 0.000000, 0.000000, 0.100000, 0.200000, 0.400000, 0.300000, 0.72
90, 0.000000, 0.000000, 0.100000, 0.200000, 0.500000, 0.200000, 0.7344
91, 0.000000, 0.000000, 0.100000, 0.200000, 0.600000, 0.100000, 0.7184
92, 0.000000, 0.000000, 0.100000, 0.200000, 0.700000, 0.000000, 0.72
93, 0.000000, 0.000000, 0.100000, 0.300000, 0.000000, 0.600000, 0.7108
94, 0.000000, 0.000000, 0.100000, 0.300000, 0.100000, 0.500000, 0.7188
95, 0.000000, 0.000000, 0.100000, 0.300000, 0.200000, 0.400000, 0.7284
96, 0.000000, 0.000000, 0.100000, 0.300000, 0.300000, 0.300000, 0.7236
97, 0.000000, 0.000000, 0.100000, 0.300000, 0.400000, 0.200000, 0.7208
98, 0.000000, 0.000000, 0.100000, 0.300000, 0.500000, 0.100000, 0.7258
99, 0.000000, 0.000000, 0.100000, 0.300000, 0.600000, 0.000000, 0.7158
100, 0.000000, 0.000000, 0.100000, 0.400000, 0.000000, 0.500000, 0.7308
101, 0.000000, 0.000000, 0.100000, 0.400000, 0.100000, 0.400000, 0.7234
102, 0.000000, 0.000000, 0.100000, 0.400000, 0.200000, 0.300000, 0.7272
103, 0.000000, 0.000000, 0.100000, 0.400000, 0.300000, 0.200000, 0.7208
104, 0.000000, 0.000000, 0.100000, 0.400000, 0.400000, 0.100000, 0.7274
105, 0.000000, 0.000000, 0.100000, 0.400000, 0.500000, 0.000000, 0.726
106, 0.000000, 0.000000, 0.100000, 0.500000, 0.000000, 0.400000, 0.7234
107, 0.000000, 0.000000, 0.100000, 0.500000, 0.100000, 0.300000, 0.7202
108, 0.000000, 0.000000, 0.100000, 0.500000, 0.200000, 0.200000, 0.7162
109, 0.000000, 0.000000, 0.100000, 0.500000, 0.300000, 0.100000, 0.7204
110, 0.000000, 0.000000, 0.100000, 0.500000, 0.400000, 0.000000, 0.7306
111, 0.000000, 0.000000, 0.100000, 0.600000, 0.000000, 0.300000, 0.7144
112, 0.000000, 0.000000, 0.100000, 0.600000, 0.100000, 0.200000, 0.7122
113, 0.000000, 0.000000, 0.100000, 0.600000, 0.200000, 0.100000, 0.7122
114, 0.000000, 0.000000, 0.100000, 0.600000, 0.300000, 0.000000, 0.7158
115, 0.000000, 0.000000, 0.100000, 0.700000, 0.000000, 0.200000, 0.701
116, 0.000000, 0.000000, 0.100000, 0.700000, 0.100000, 0.100000, 0.7094
117, 0.000000, 0.000000, 0.100000, 0.700000, 0.200000, 0.000000, 0.7136
118, 0.000000, 0.000000, 0.100000, 0.800000, 0.000000, 0.100000, 0.7026
119, 0.000000, 0.000000, 0.100000, 0.800000, 0.100000, 0.000000, 0.7036
120, 0.000000, 0.000000, 0.100000, 0.900000, 0.000000, 0.000000, 0.6874
121, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000, 0.800000, 0.6876
