ID,p22,p23,winRate
0, 0.000000, 0.000000, 0.5674
1, 0.000000, 0.250000, 0.5596
2, 0.000000, 0.500000, 0.5806
3, 0.000000, 0.750000, 0.5734
4, 0.000000, 1.000000, 0.5666
5, 0.000000, 1.250000, 0.5754
6, 0.000000, 1.500000, 0.5656
7, 0.000000, 1.750000, 0.5588
8, 0.000000, 2.000000, 0.5604
9, 0.000000, 2.250000, 0.5756
10, 0.000000, 2.500000, 0.5706
11, 0.000000, 2.750000, 0.555
12, 0.000000, 3.000000, 0.5604
13, 0.000000, 3.250000, 0.5688
14, 0.000000, 3.500000, 0.5726
15, 0.000000, 3.750000, 0.5758
16, 0.000000, 4.000000, 0.5714
17, 0.100000, 0.000000, 0.64
18, 0.100000, 0.250000, 0.6652
19, 0.100000, 0.500000, 0.6884
20, 0.100000, 0.750000, 0.6862
21, 0.100000, 1.000000, 0.7202
22, 0.100000, 1.250000, 0.7176
23, 0.100000, 1.500000, 0.7264
24, 0.100000, 1.750000, 0.728
25, 0.100000, 2.000000, 0.7172
26, 0.100000, 2.250000, 0.7216
27, 0.100000, 2.500000, 0.7226
28, 0.100000, 2.750000, 0.7258
29, 0.100000, 3.000000, 0.7278
30, 0.100000, 3.250000, 0.7186
31, 0.100000, 3.500000, 0.723
32, 0.100000, 3.750000, 0.7258
33, 0.100000, 4.000000, 0.7196
34, 0.200000, 0.000000, 0.6726
35, 0.200000, 0.250000, 0.7056
36, 0.200000, 0.500000, 0.7086
37, 0.200000, 0.750000, 0.7128
38, 0.200000, 1.000000, 0.7208
39, 0.200000, 1.250000, 0.731
40, 0.200000, 1.500000, 0.7314
41, 0.200000, 1.750000, 0.7244
42, 0.200000, 2.000000, 0.728
43, 0.200000, 2.250000, 0.732
44, 0.200000, 2.500000, 0.7164
45, 0.200000, 2.750000, 0.7248
46, 0.200000, 3.000000, 0.7234
47, 0.200000, 3.250000, 0.7334
48, 0.200000, 3.500000, 0.7288
49, 0.200000, 3.750000, 0.7248
50, 0.200000, 4.000000, 0.7302
51, 0.300000, 0.000000, 0.7098
52, 0.300000, 0.250000, 0.722
53, 0.300000, 0.500000, 0.7144
54, 0.300000, 0.750000, 0.7264
55, 0.300000, 1.000000, 0.7262
56, 0.300000, 1.250000, 0.7258
57, 0.300000, 1.500000, 0.73
58, 0.300000, 1.750000, 0.7358
59, 0.300000, 2.000000, 0.7232
60, 0.300000, 2.250000, 0.7356
61, 0.300000, 2.500000, 0.734
62, 0.300000, 2.750000, 0.726
63, 0.300000, 3.000000, 0.7418
64, 0.300000, 3.250000, 0.7416
65, 0.300000, 3.500000, 0.7384
66, 0.300000, 3.750000, 0.7274
67, 0.300000, 4.000000, 0.7278
68, 0.400000, 0.000000, 0.7118
69, 0.400000, 0.250000, 0.7098
70, 0.400000, 0.500000, 0.726
71, 0.400000, 0.750000, 0.7228
72, 0.400000, 1.000000, 0.7186
73, 0.400000, 1.250000, 0.721
74, 0.400000, 1.500000, 0.7258
75, 0.400000, 1.750000, 0.7426
76, 0.400000, 2.000000, 0.724
77, 0.400000, 2.250000, 0.7216
78, 0.400000, 2.500000, 0.7336
79, 0.400000, 2.750000, 0.7276
