Using command-line arguments: 6, I
Self: Index player
Ensemble weight ParamLists are ready.
numIndividuals: 3003. Correct number is: 3003
=============== runExhaustiveTest ===============
gamesPerIndividual: 5000
----------------------------------------
Table of results: 
ID, p31, p32, p33, p34, p35, p36, winRate
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.667
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.100000, 0.900000, 0.6714
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.200000, 0.800000, 0.6768
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.300000, 0.700000, 0.6656
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.400000, 0.600000, 0.6706
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.500000, 0.6768
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.600000, 0.400000, 0.67
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.700000, 0.300000, 0.6714
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.800000, 0.200000, 0.6678
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.900000, 0.100000, 0.675
10, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.6716
11, 0.000000, 0.000000, 0.000000, 0.100000, 0.000000, 0.900000, 0.7112
12, 0.000000, 0.000000, 0.000000, 0.100000, 0.100000, 0.800000, 0.7124
13, 0.000000, 0.000000, 0.000000, 0.100000, 0.200000, 0.700000, 0.7238
14, 0.000000, 0.000000, 0.000000, 0.100000, 0.300000, 0.600000, 0.719
15, 0.000000, 0.000000, 0.000000, 0.100000, 0.400000, 0.500000, 0.7216
16, 0.000000, 0.000000, 0.000000, 0.100000, 0.500000, 0.400000, 0.7196
17, 0.000000, 0.000000, 0.000000, 0.100000, 0.600000, 0.300000, 0.7238
18, 0.000000, 0.000000, 0.000000, 0.100000, 0.700000, 0.200000, 0.7054
19, 0.000000, 0.000000, 0.000000, 0.100000, 0.800000, 0.100000, 0.7212
20, 0.000000, 0.000000, 0.000000, 0.100000, 0.900000, 0.000000, 0.715
21, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.800000, 0.7282
22, 0.000000, 0.000000, 0.000000, 0.200000, 0.100000, 0.700000, 0.7256
23, 0.000000, 0.000000, 0.000000, 0.200000, 0.200000, 0.600000, 0.7224
