rankOfMeld1,isRun1,isRank1,length1,rankOfMeld2,isRun2,isRank2,length2,rankOfMeld3,isRun3,isRank3,length3,selfDeadwoodPoints,numTurn,multiOppScore,finalScore
4.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,12.0,0.0,1.0,3.0,1.0,19.0,6.963435455211856,10.0
4.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,12.0,0.0,1.0,3.0,1.0,21.0,3.8354892750368017,10.0
4.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,12.0,0.0,1.0,3.0,1.0,23.0,-3.748912946609869,10.0
11.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,22.0,4.51168389153351,-28.0
11.0,0.0,1.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,9.0,1.2727272727272732,41.0
1.0,0.0,1.0,4.0,11.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,11.0,0.9999999999999994,37.0
3.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,28.0,-29.147294355086174,4.0
3.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,30.0,-23.543959729827517,-26.0
1.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,1.0,32.0,13.4033893944956,6.0
1.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,15.0,2.5975933895029235,-30.0
1.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,17.0,-8.725129507076186,-30.0
4.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,19.0,-7.232318474766528,-26.0
4.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,21.0,-6.379295821337923,-26.0
